business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Christian Caterers,Caterer and Event Planner,Caterer,"Caterer, Tiffin Service Provider, Cooking Class, Service establishment, Event planner, Mobile caterer",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,N/A,http://www.christian-caterers.com/,5.0,,"Christian Caterers, 754012, India",754012,33.1611885,-96.7141652,ChIJk5iSyv9zTIYRCA9QF2x7qPE,https://www.google.com/maps/place/?q=place_id:ChIJk5iSyv9zTIYRCA9QF2x7qPE,part_339,2026-09-20 20:38:33
Carnival Catering & Events,Caterer and Event Planner,Caterer,"Caterer, Wedding service, DJ supply store, Wedding photographer, Wedding planner",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 73814 97343,N/A,2.3,,"Duplex-42, Sailashree Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Sailashree Vihar, Chandrasekharpur",20.332868299999998,85.807009,ChIJi4VPPf4IGToR8F-X4SU3KVk,https://www.google.com/maps/place/?q=place_id:ChIJi4VPPf4IGToR8F-X4SU3KVk,part_339,2026-09-20 20:38:33
Food Tales Catering,Caterer and Event Planner,Caterer,Caterer,754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 99994 41310,https://www.foodtalescatering.com/,5.0,,"Khasra No. 369, Plot No.18, A-6/2, Asola, Chhatarpur, New Delhi, Delhi 110074","Asola Homes, Asola, Chhatarpur",28.4590221,77.1921624,ChIJlYGLGkwfDTkRbSJ85DUKPMg,https://www.google.com/maps/place/?q=place_id:ChIJlYGLGkwfDTkRbSJ85DUKPMg,part_339,2026-09-20 20:38:34
"Gupta Bandhu Tent & caterer - Caterers in Dehradun, tent house in Dehradun , catering service in dehradun",Caterer and Event Planner,Caterer,"Caterer, Restaurant supply store, Tent House Supplier",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 80773 32043,https://gupta-bandhu-tent.grexa.site/,4.7,,"37, 16, Kanwali Rd, Indresh Nagar, Tilak Nagar, Laxman Chowk, Dehradun, Uttarakhand 248001","Indresh Nagar, Tilak Nagar, Laxman Chowk",30.3202698,78.02711289999999,ChIJGQ7DzowpCTkRyc0e5UhkFuE,https://www.google.com/maps/place/?q=place_id:ChIJGQ7DzowpCTkRyc0e5UhkFuE,part_339,2026-09-20 20:38:34
Eventdekho,Caterer and Event Planner,Event planner,"Event planner, Balloon artist, Event management company, Event technology service, Event venue, Food and beverage consultant, Wedding planner",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 91407 34396,https://www.eventdekho.in/,5.0,,"B 7 K, 619, Deva Rd, CHINHAT, Naubasta Kala, Lucknow, Uttar Pradesh 226028",CHINHAT,26.9014462,81.04440699999999,ChIJt7DjmNZ-X2ARVYoeyC5UQec,https://www.google.com/maps/place/?q=place_id:ChIJt7DjmNZ-X2ARVYoeyC5UQec,part_339,2026-09-20 20:38:34
AN Caterers,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event planner, Food manufacturer, Food producer, Mobile caterer, Wedding buffet, Wedding planner, Wedding service",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 96633 46620,https://www.ancaterers.in/,5.0,,"No 5, Corporation building HKP, Broadway Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051","Swamy Shivanandapuram, Shivaji Nagar",12.986386,77.6005443,ChIJ10RQqjYXrjsRJovygSW9Q-A,https://www.google.com/maps/place/?q=place_id:ChIJ10RQqjYXrjsRJovygSW9Q-A,part_339,2026-09-20 20:38:34
Royal Spoon Caterers,Caterer and Event Planner,Caterer,"Caterer, Buffet restaurant, Food products supplier, Restaurant supply store",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 97112 43666,https://bestcateringservices.in/,4.8,,"AR Market Part-2, F-3, near MetroMoney Bazar, Rampur, Block C, Gamma 1, Greater Noida, Uttar Pradesh 201310","Rampur, Block C, Gamma 1",28.4836907,77.50570689999999,ChIJdwGEcGbqDDkRf-eirj_tYVw,https://www.google.com/maps/place/?q=place_id:ChIJdwGEcGbqDDkRf-eirj_tYVw,part_339,2026-09-20 20:38:34
shree ram caterers,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event management company, Event planner, Party planner, Restaurant supply store, Wedding buffet, Wedding planner, Wedding service, Wedding venue",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 73037 57884,https://www.shreeramcaterers.site/amrapali-zodiac,5.0,,"Amrapali Zodiac, Sector 120, Noida, Uttar Pradesh 201307","Amrapali Zodiac, Sector 120",28.5841168,77.3973942,ChIJS19pWmnvDDkRjOAk4fKAB8M,https://www.google.com/maps/place/?q=place_id:ChIJS19pWmnvDDkRjOAk4fKAB8M,part_339,2026-09-20 20:38:34
Gupta Caterers,Caterer and Event Planner,Caterer,Caterer,754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 98181 09865,https://www.guptacaterers.in/,4.7,,"25, near Nizamuddin Railway Station Road, Block T, Nagli Rajapur, Nizamuddin East, New Delhi, Delhi 110013","Block T, Nagli Rajapur, Nizamuddin East",28.5892658,77.2548949,ChIJlwz3NXPjDDkRgL0VoDNZK1c,https://www.google.com/maps/place/?q=place_id:ChIJlwz3NXPjDDkRgL0VoDNZK1c,part_339,2026-09-20 20:38:34
UDUPI CATERERS,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Food and beverage consultant, Mobile caterer, Restaurant supply store, Wedding buffet",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 76765 55936,http://www.udupicaterers.in/,4.4,,"No 130, 251, 6th Cross Rd, Hanumanthnagar, Lakshmipuram, Banashankari, Bengaluru, Karnataka 560004","Hanumanthnagar, Lakshmipuram, Banashankari",12.9472521,77.5615665,ChIJu1usGB4-rjsRQ560MDtuBQE,https://www.google.com/maps/place/?q=place_id:ChIJu1usGB4-rjsRQ560MDtuBQE,part_339,2026-09-20 20:38:34
Shantiram Caterers,Caterer and Event Planner,Caterer,Caterer,754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 98209 32204,http://shantiram.in/,4.8,,"Hall W, Radhamit CHS, Office No 18, Plot No 33, Sector 18 Nerul Rd, opp. Agri Koli Samaj, Navi Mumbai, Maharashtra 400706","Sector 18, Nerul",19.0334213,73.0113786,ChIJ1cq4e-zD5zsRloevcb1hKUI,https://www.google.com/maps/place/?q=place_id:ChIJ1cq4e-zD5zsRloevcb1hKUI,part_339,2026-09-20 20:38:34
Sloshout,Caterer and Event Planner,Party planner,"Party planner, Caterer, Farmstay, Photography service, Wedding service, Wedding venue",754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 85888 26881,https://www.sloshout.com/,4.3,,"Metro Pillar No 330, Tagore Market, Office No. 19, A1 Basement, Kirti Nagar, New Delhi, Delhi 110015","Block A, Indira Colony, Kirti Nagar",28.654843399999997,77.1379923,ChIJEwvCMSEDDTkRRDQe-42FrJU,https://www.google.com/maps/place/?q=place_id:ChIJEwvCMSEDDTkRRDQe-42FrJU,part_339,2026-09-20 20:38:34
Your Celebrations,Caterer and Event Planner,Caterer,Caterer,754012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Bhola S.O,+91 96200 22966,N/A,4.6,,"MGM House, 44/45, 50 Feet Main Rd, near Maxmuller High School, 1st phase Girinagar, II Phase, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560085","1st phase Girinagar, II Phase, Banashankari 1st Stage, Banashankari",12.9423888,77.54472919999999,ChIJA5ZynRw_rjsR-aIcRIrM9-Y,https://www.google.com/maps/place/?q=place_id:ChIJA5ZynRw_rjsR-aIcRIrM9-Y,part_339,2026-09-20 20:38:34
