business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subhalaxmi jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 76569 93830,N/A,5.0,1.0,"bata, champapur road, Chhatia, Ichhanagarpatana, Odisha 754023",754023,20.610113899999998,86.07059269999999,ChIJgzODSRRpGToRALL7wVg_jFU,https://www.google.com/maps/place/?q=place_id:ChIJgzODSRRpGToRALL7wVg_jFU,part_339,2026-09-20 20:42:02
Shree Ganesh silver ornaments,Silver Jewellery Shop,Jeweler,Jeweler,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 93485 78312,N/A,5.0,1.0,"M486+GR4, Kanjia bazar, Bharchhan, Odisha 754296",Kanjia bazar,20.666252399999998,86.1120767,ChIJzamNbwBnGToRTDPs_-2Zu_4,https://www.google.com/maps/place/?q=place_id:ChIJzamNbwBnGToRTDPs_-2Zu_4,part_339,2026-09-20 20:42:02
TRINATH JEWELLERY,Silver Jewellery Shop,Jewelry store,Jewelry store,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 99384 04241,N/A,3.0,1.0,"Chatia, Chhatia, Odisha 754023",754023,20.6094065,86.0655531,ChIJofOY9iRpGToR-doHBVrkyDI,https://www.google.com/maps/place/?q=place_id:ChIJofOY9iRpGToR-doHBVrkyDI,part_339,2026-09-20 20:42:02
PATRA JEWELLERY - Chhatia,Silver Jewellery Shop,Jeweler,Jeweler,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",N/A,https://patrajewellery.com/,,,"near mandir, Chhatia, Paikarapur, Odisha 754023",754023,20.6118117,86.0676416,ChIJISCtiU1pGToRwSdq-W13UFA,https://www.google.com/maps/place/?q=place_id:ChIJISCtiU1pGToRwSdq-W13UFA,part_339,2026-09-20 20:42:02
MAA TARINI JEWELLERY,Silver Jewellery Shop,Jewelry store,Jewelry store,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 76840 80014,N/A,5.0,3.0,"near Axis Bank Infront of union bank of india, Sitaleswar, Jajpur, Odisha 755001",Sitaleswar,20.8473175,86.3373318,ChIJPRhFM1_jGzoR6UfBgjzlI7w,https://www.google.com/maps/place/?q=place_id:ChIJPRhFM1_jGzoR6UfBgjzlI7w,part_339,2026-09-20 20:42:02
Sumitra jewellery,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 97764 34120,N/A,5.0,5.0,"market, near HDFC ATM, Singhpur, Odisha 755016",754023,20.688720399999998,86.5049693,ChIJo-XGBQDrGzoR1O-XnCho4bc,https://www.google.com/maps/place/?q=place_id:ChIJo-XGBQDrGzoR1O-XnCho4bc,part_339,2026-09-20 20:42:02
Pandit Saraf,Silver Jewellery Shop,Jewelry store,Jewelry store,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 78995 75274,N/A,5.0,,"Laddi Katti Hanuman Temple, Minajgi Galli, Near, Ram Mandir Rd, Vijayapura, Karnataka 586101",Sholapur,16.8340407,75.7130246,ChIJXea5W_3_xjsRaUztNQpQh3o,https://www.google.com/maps/place/?q=place_id:ChIJXea5W_3_xjsRaUztNQpQh3o,part_339,2026-09-20 20:42:02
GOVIND JEWELLERS,Silver Jewellery Shop,Supermarket,Supermarket,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",N/A,N/A,5.0,,"R5CW+5Q3, Madhuban Road, Kuakhia, Chandipur, Odisha 755051",Kuakhia,20.820386799999998,86.19692359999999,ChIJ__Z0fIlZGToRNEpi3ZkeBiE,https://www.google.com/maps/place/?q=place_id:ChIJ__Z0fIlZGToRNEpi3ZkeBiE,part_339,2026-09-20 20:42:02
"Swarnganga Jewellers Gold Jewellery , Diamond Jewellery & Silver Jewellery Store",Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Silversmith",754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",+91 99826 71503,http://swarnganga.com/,4.5,175.0,"8, Agarsen Bazar, Diggi Mohalla, Beawar, Rajasthan 305901",Diggi Mohalla,26.1005789,74.3204899,ChIJx3bDzjtxaTkRAH7nQNGQHMU,https://www.google.com/maps/place/?q=place_id:ChIJx3bDzjtxaTkRAH7nQNGQHMU,part_339,2026-09-20 20:42:03
Patra ornament,Silver Jewellery Shop,Jewelry store,Jewelry store,754023,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"CHHATIA S.O, BAJAPURA B.O, Bandalo B.O",N/A,N/A,4.0,1.0,"Q582+Q9G, Bada Bazar Rd, Dharmasala, Jaraka, Odisha 755050",754023,20.766931,86.15094049999999,ChIJMQzHcgBbGToRGUi5ULcSfrs,https://www.google.com/maps/place/?q=place_id:ChIJMQzHcgBbGToRGUi5ULcSfrs,part_339,2026-09-20 20:42:03
