business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa mangala Veriety store,Kirana Store,General store,General store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,,,"M3H6+VV7, Batua (Bato), Khajuria, Kolhasahi, Odisha 755044",Batua (Bato),20.6796591,86.0621829,ChIJtZM-XwBDGToRY-dX-y9tK_A,https://www.google.com/maps/place/?q=place_id:ChIJtZM-XwBDGToRY-dX-y9tK_A,part_339,2026-09-20 20:42:30
MAHARANA GENERAL STORE,Kirana Store,Hardware store,Hardware store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 77357 86062,N/A,4.9,78.0,"New, duburi bypass road, near old BSNL Office, Chandikhol Chhak, Chandikhol, Sunguda, Odisha 754296",Chandikhol Chhak,20.6963915,86.1321772,ChIJxwkvtwVdGToRbVqlPlY8Is8,https://www.google.com/maps/place/?q=place_id:ChIJxwkvtwVdGToRbVqlPlY8Is8,part_339,2026-09-20 20:42:30
Govind grocery store,Kirana Store,Grocery store,Grocery store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,,,"M4M6+3W2, Dhanamandal Colony Rd, Dhanmandal Colony, Purusottampur, Odisha 754024",754024,20.6826364,86.11227,ChIJLanq70JdGToROKSfNj7jHro,https://www.google.com/maps/place/?q=place_id:ChIJLanq70JdGToROKSfNj7jHro,part_339,2026-09-20 20:42:30
Harilal Kirana Store,Kirana Store,Grocery store,Grocery store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,4.1,43.0,"Pachowree, Uttar Pradesh 273209",754024,26.6641197,83.1585298,ChIJ6yjEckY9kTkR786NUgAUK3o,https://www.google.com/maps/place/?q=place_id:ChIJ6yjEckY9kTkR786NUgAUK3o,part_339,2026-09-20 20:42:31
Panda Grocery Shop,Kirana Store,Indian grocery store,Indian grocery store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 78943 79056,N/A,5.0,1.0,"Chausathipada, Natilo, Sathuapatana, Odisha 755023",Chausathipada,20.8735338,86.0506035,ChIJ72r2bAtPGToRf3RD-fNUECM,https://www.google.com/maps/place/?q=place_id:ChIJ72r2bAtPGToRf3RD-fNUECM,part_339,2026-09-20 20:42:31
Ghar Sansar Super Store,Kirana Store,General store,"General store, Grocery store",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 99348 65250,N/A,4.2,277.0,"Hospital Rd, Tajpur, Bihar 848130",754024,25.8566665,85.6701904,ChIJ06q8Vmyc7TkRnB0OWWDRzSY,https://www.google.com/maps/place/?q=place_id:ChIJ06q8Vmyc7TkRnB0OWWDRzSY,part_339,2026-09-20 20:42:31
Shri Prajapati Kirana Store,Kirana Store,Grocery store,"Grocery store, Department store",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 96162 35048,N/A,4.1,339.0,"Basharatpur, Ganga Tola, Gorakhpur, Uttar Pradesh 273003","Chandra Vihar Colony, Anand Vihar",26.792431,83.3819334,ChIJk8Tb_gZFkTkRFBsd5jedCa0,https://www.google.com/maps/place/?q=place_id:ChIJk8Tb_gZFkTkRFBsd5jedCa0,part_339,2026-09-20 20:42:31
Maglam super stores,Kirana Store,Indian grocery store,Indian grocery store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,4.5,10.0,"Hospital chowk, Tajpur, Bihar 848130",754024,25.8564215,85.6703538,ChIJAzjy90md7TkRcQ0MwdSN7Hk,https://www.google.com/maps/place/?q=place_id:ChIJAzjy90md7TkRcQ0MwdSN7Hk,part_339,2026-09-20 20:42:31
Baladev Jew Varity Store,Kirana Store,Grocery store,Grocery store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 91147 72284,N/A,,,"Near Jagannath Badi Sahi Jagannath Badi Sahi , Barapada, Binjharpur, Jajpur, Odisha 755004",754024,20.748362399999998,86.4322557,ChIJx-O4FaXpGzoROnVhH-DeCFo,https://www.google.com/maps/place/?q=place_id:ChIJx-O4FaXpGzoROnVhH-DeCFo,part_339,2026-09-20 20:42:31
JENA'S GENERAL STORE,Kirana Store,General store,General store,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,5.0,22.0,"Dhanmandal, Purusottampur, Odisha 754024",754024,20.6871163,86.1143304,ChIJ6QE2sXVdGToRkQ6oQF4BirY,https://www.google.com/maps/place/?q=place_id:ChIJ6QE2sXVdGToRkQ6oQF4BirY,part_339,2026-09-20 20:42:31
