business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Multimoney Forex Ltd. Bengaluru,Money Transfer and Forex,Money transfer service,"Money transfer service, Financial institution, Currency exchange service",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 62923 16282,https://www.multimoney.co.in/currency-exchange-in-bengaluru,4.9,57.0,"49/2, mezzanine, Rama Arcade, Bowring Hospital Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","Tasker Town, Shivaji Nagar",12.9816059,77.6056208,ChIJEYyqxKYXrjsRg5X0VwGPOXQ,https://www.google.com/maps/place/?q=place_id:ChIJEYyqxKYXrjsRg5X0VwGPOXQ,part_339,2026-09-20 20:42:57
MoneyGram,Money Transfer and Forex,Money transfer service,Money transfer service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 98614 58821,https://www.moneygram.com/r/in/en?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,"AT+BAPASARADAIPUR G. P NAHANGA DIST, Odisha 754250",754024,20.571649999999998,86.37442,ChIJQ0wbxCXbGzoRW9CKPSnnXDo,https://www.google.com/maps/place/?q=place_id:ChIJQ0wbxCXbGzoRW9CKPSnnXDo,part_339,2026-09-20 20:42:57
Arora Money Exchanger,Money Transfer and Forex,Currency exchange service,Currency exchange service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 97923 27017,N/A,4.7,46.0,"Shop No. 1, Shankar Complex, Bank Rd, Golghar, Gorakhpur, Uttar Pradesh 273001",Golghar,26.7538748,83.3669567,ChIJUfB5tWhEkTkRa6REU6rP6lo,https://www.google.com/maps/place/?q=place_id:ChIJUfB5tWhEkTkRa6REU6rP6lo,part_339,2026-09-20 20:42:57
Xe Forex Bureau India Pvt Ltd,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 91115 11533,http://www.xeforex.in/,4.6,304.0,"Shop No 4, Satyam Shivam Sundram Building, near Jyoti Talkies, Napier Town, Jabalpur, Madhya Pradesh 482002",Napier Town,23.1648696,79.93617139999999,ChIJq6qq6uKtgTkR1WRt7sKbalg,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6uKtgTkR1WRt7sKbalg,part_339,2026-09-20 20:42:58
Srv Forex Private Limited,Money Transfer and Forex,Money transfer service,Money transfer service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 98196 43678,N/A,5.0,16.0,"Shop No 8, Ambo Vihar Housing Society, Building No 08 Tirupati Nagar Phase 02, Virar West, Palghar, near Vijay Sales, Thane, Maharashtra 401303","Ambo Vihar, Tirupati Nagar, Virar West",19.4548798,72.8016126,ChIJFy82WCiq5zsRtkRux3I28T8,https://www.google.com/maps/place/?q=place_id:ChIJFy82WCiq5zsRtkRux3I28T8,part_339,2026-09-20 20:42:58
Tripathi Forex Private Limited (Gorakhpur),Money Transfer and Forex,Currency exchange service,Currency exchange service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 93052 12501,https://www.tripathiforex.com/,4.9,74.0,"The Mall, Shop No. 25,Cross Rd, Bank Rd, Gorakhpur, Uttar Pradesh 273001",VindyaVasini Nagar,26.7530111,83.3671794,ChIJJWVARm9EkTkR_7iYS71mwzs,https://www.google.com/maps/place/?q=place_id:ChIJJWVARm9EkTkR_7iYS71mwzs,part_339,2026-09-20 20:42:59
ATC Coin Join,Money Transfer and Forex,Currency exchange service,Currency exchange service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,3.0,2.0,"Q95H+78R, Arya Nagar, Bilandpur, Gorakhpur, Uttar Pradesh 273001","Arya Nagar, Bilandpur",26.7582336,83.378258,ChIJHY1aO2BEkTkRxdytIYbzLQg,https://www.google.com/maps/place/?q=place_id:ChIJHY1aO2BEkTkRxdytIYbzLQg,part_339,2026-09-20 20:42:59
Trustvalley Forex Pvt.Ltd,Money Transfer and Forex,Currency exchange service,Currency exchange service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 88811 17550,N/A,5.0,32.0,"Shop No 2 Kamla Arced, Buxipur Rd, Gorakhpur, Uttar Pradesh 273001",Shahpur,26.7532371,83.3653648,ChIJPW0nlcBFkTkR74TgIygsvZ0,https://www.google.com/maps/place/?q=place_id:ChIJPW0nlcBFkTkR74TgIygsvZ0,part_339,2026-09-20 20:42:59
Prithvi Exchange India Ltd.,Money Transfer and Forex,Currency exchange service,Currency exchange service,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,https://prithvifx.com/,4.8,,"Survey No. 419/1, Agarwal Building, Plot No. 4, Mall Rd, Kanpur Cantonment, Kanpur, Uttar Pradesh 208004",Kanpur Cantonment,26.462874499999998,80.35986199999999,ChIJ1zm-X15HnDkRwVDrxSYVmw0,https://www.google.com/maps/place/?q=place_id:ChIJ1zm-X15HnDkRwVDrxSYVmw0,part_339,2026-09-20 20:42:59
TCI Forex Pvt Ltd,Money Transfer and Forex,Currency exchange service,"Currency exchange service, Insurance agency",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 99366 55559,http://tciforex.com/,4.7,,"City Center Mall, F121, The Mall Rd, Sadr Bazaar, Downtown, Kanpur, Uttar Pradesh 208001","Sadr Bazaar, Downtown",26.4618659,80.35912239999999,ChIJO3NfvKZHnDkRbwEv1HU3pow,https://www.google.com/maps/place/?q=place_id:ChIJO3NfvKZHnDkRbwEv1HU3pow,part_339,2026-09-20 20:42:59
