business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ଆମ ଅଙ୍ଗନବାଡି କେନ୍ଦ୍ର ଚାଉଳଥଳି,Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,,,"M39F+P9Q, Chaulathali, Bato, Odisha 754024",754024,20.6693474,86.0735638,ChIJoUUXn7xDGToR3x9CrKVSYA4,https://www.google.com/maps/place/?q=place_id:ChIJoUUXn7xDGToR3x9CrKVSYA4,part_339,2026-09-20 20:42:53
"Kumbharsahi Anganwadi Kendra, Sunguda",Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,5.0,,"M4VF+66W, Dhanmandal Colony, Darpangarh, Odisha 754024",754024,20.693119,86.1230777,ChIJhU6Y5VJdGToRp2lya9dLAks,https://www.google.com/maps/place/?q=place_id:ChIJhU6Y5VJdGToRp2lya9dLAks,part_339,2026-09-20 20:42:53
A.W.C Charibatia,Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,4.0,,"P446+XXQ, Charibatia, Chandikhol, Ranibandi, Odisha 755044",Charibatia,20.707472499999998,86.1124847,ChIJ2RfmUgBdGToRA-M9pmbarcs,https://www.google.com/maps/place/?q=place_id:ChIJ2RfmUgBdGToRA-M9pmbarcs,part_339,2026-09-20 20:42:53
Royal King Raja home,Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,N/A,,,"M2QQ+MQ9, Kaimatia, Paida, Odisha 755044",754024,20.6892001,86.0395551,ChIJc2Yt19dDGToR0dehJBLBHwQ,https://www.google.com/maps/place/?q=place_id:ChIJc2Yt19dDGToR0dehJBLBHwQ,part_339,2026-09-20 20:42:53
Kidzee - Jajpur,Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 79787 26969,https://www.kidzee.com/,,,"Khata No 894/320, Plot No 2648, Barabati, Jajpur, Odisha 755001",754024,20.8498444,86.30344199999999,ChIJRTQPsbvjGzoRstDmPGw0krM,https://www.google.com/maps/place/?q=place_id:ChIJRTQPsbvjGzoRstDmPGw0krM,part_339,2026-09-20 20:42:53
"Kidzee Kanheipur ,jajpur road",Play School and Daycare,Preschool,Preschool,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",N/A,http://www.kidzee.com/,4.8,,"Kanheipur, Byasanagar, Odisha 755019",Kanheipur,20.962766,86.1248628,ChIJPf2dVS9SGToRnbI-wFdoq6c,https://www.google.com/maps/place/?q=place_id:ChIJPf2dVS9SGToRnbI-wFdoq6c,part_339,2026-09-20 20:42:53
Nisargah Preschool and Daycare,Play School and Daycare,Preschool,"Preschool, Day care center, Kindergarten School, Plant nursery, Playgroup",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 88675 73939,https://www.nisargahpreschool.com/,4.6,,"Sy. No. 129/2, Doddamara Road, Rayasandra Village Huskur Post, Anekal Taluk, Hobli, Sarjapur, Rayasandra, Karnataka 560099",Sarjapur,12.881955399999999,77.67735499999999,ChIJlWCRmQcTrjsRxwNsTbg0gpQ,https://www.google.com/maps/place/?q=place_id:ChIJlWCRmQcTrjsRxwNsTbg0gpQ,part_339,2026-09-20 20:42:54
Little Flower Kinder Garten pre- school,Play School and Daycare,Education center,Education center,754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 79912 75858,N/A,5.0,,"5/4/72D/3, Bachada Sultanpur, Faizabad, Uttar Pradesh 224001",Bachada Sultanpur,26.7794186,82.1674905,ChIJQ9dMqQMHmjkR2wW8gVjxmvw,https://www.google.com/maps/place/?q=place_id:ChIJQ9dMqQMHmjkR2wW8gVjxmvw,part_339,2026-09-20 20:42:54
Toddler Town Play school & Day Care,Play School and Daycare,Day care center,"Day care center, Plant nursery, Playgroup, Preschool",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 97550 62622,N/A,4.8,,"408, LIG, Housing Board Colony, Rachna Nagar, Bhopal, Madhya Pradesh 462011","LIG, Housing Board Colony, Rachna Nagar",23.2366042,77.43812849999999,ChIJk9c09uhDfDkR6m3MO4XESyA,https://www.google.com/maps/place/?q=place_id:ChIJk9c09uhDfDkR6m3MO4XESyA,part_339,2026-09-20 20:42:55
"Kidzee Pre School & Daycare, Kirti Nagar",Play School and Daycare,Preschool,"Preschool, Day care center, Educational consultant, Kindergarten School, Learning center, Nursery school, Preparatory school, School center, Studying center",754024,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"Dhanmandal S.O, Bantala B.O, Barithengada B.O",+91 95606 03201,http://www.kidzeekirtinagar.com/,4.9,,"B-11A Ground Floor, Kirti Nagar, New Delhi, Delhi 110015","Black B, Namdhari Colony, Kirti Nagar",28.6539488,77.1369596,ChIJeVIDWQ8DDTkRRF2Y5arpDPg,https://www.google.com/maps/place/?q=place_id:ChIJeVIDWQ8DDTkRRF2Y5arpDPg,part_339,2026-09-20 20:42:55
