business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayush Trading Co.,Importers,Farm equipment supplier,Farm equipment supplier,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",N/A,N/A,4.3,,"C89P+624, Madhuban, Odisha 754031",754031,20.418018099999998,85.3350657,ChIJ0SObT1HzGDoRHJBmxaH_qfM,https://www.google.com/maps/place/?q=place_id:ChIJ0SObT1HzGDoRHJBmxaH_qfM,part_339,2026-09-20 20:47:11
ADILIX STORE,Importers,Shopping mall,"Shopping mall, Ceramics wholesaler",754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 99377 44121,https://adilix.blogspot.com/2025/03/adilix-store-1.html?m=1,5.0,,"Beliapal, Badamba, Odisha 754031",754031,20.4042837,85.253652,ChIJH5B1aN6MGDoRq-aYPTlay20,https://www.google.com/maps/place/?q=place_id:ChIJH5B1aN6MGDoRq-aYPTlay20,part_339,2026-09-20 20:47:11
Krushak Mitra,Importers,Agricultural Seed Store,Agricultural Seed Store,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 82499 47718,http://www.krushakmitra.com/,5.0,,"Badamba, Gopalpur, Odisha 754031",754031,20.4259278,85.2580175,ChIJy_pANwCNGDoRh9GRhUZoiss,https://www.google.com/maps/place/?q=place_id:ChIJy_pANwCNGDoRh9GRhUZoiss,part_339,2026-09-20 20:47:11
AQUA SALES & CARE,Importers,Wholesaler,"Wholesaler, Water Filter Supplier",754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 73770 66234,N/A,4.9,,"Sahoo market complex, Nuapatna, Odisha 754035",754031,20.445832799999998,85.4671661,ChIJ-_PPFMHxGDoRqAKd3yXhTq8,https://www.google.com/maps/place/?q=place_id:ChIJ-_PPFMHxGDoRqAKd3yXhTq8,part_339,2026-09-20 20:47:11
Maa Bhattarika Signage Art,Importers,Advertising agency,Advertising agency,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 79781 27949,N/A,,,"Badamba, Odisha 754031",754031,20.4183155,85.3439204,ChIJj1xXqO7zGDoROOdbDlNWap0,https://www.google.com/maps/place/?q=place_id:ChIJj1xXqO7zGDoROOdbDlNWap0,part_339,2026-09-20 20:47:11
JK Lakshmi Cement Ltd. - Sri Trinath Dev Cement Bhandar,Importers,Cement Supplier,Cement Supplier,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 99370 18931,https://www.jklakshmicement.com/,5.0,,"Kamaladiha, Odisha 754031",754031,20.4188735,85.3480228,ChIJpRmaAtnzGDoR2n1CYHW5eR8,https://www.google.com/maps/place/?q=place_id:ChIJpRmaAtnzGDoR2n1CYHW5eR8,part_339,2026-09-20 20:47:11
khilar global expert,Importers,Import export company,Import export company,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",N/A,N/A,,,"Khata No. 942/574, Plot No. 487, Badamba Main Road, NIZIGARH, Badamba, Odisha 754031",754031,20.4183201,85.3440304,ChIJh9XJg_vzGDoRsyuXhtleFp0,https://www.google.com/maps/place/?q=place_id:ChIJh9XJg_vzGDoRsyuXhtleFp0,part_339,2026-09-20 20:47:11
Adilix,Importers,Import export company,Import export company,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 99377 44121,N/A,,,"Beliapal, Badamba, Odisha 754031",754031,20.419918,85.3401208,ChIJVVVVJTHyGDoRxkc0bVzMke0,https://www.google.com/maps/place/?q=place_id:ChIJVVVVJTHyGDoRxkc0bVzMke0,part_339,2026-09-20 20:47:11
Bhagyashree suppliers,Importers,Construction Material Wholesaler,Construction Material Wholesaler,754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 70771 95407,N/A,,,"Kesabereni, Banamalipur, Badamba, Odisha 754031",754031,20.4021942,85.299086,ChIJo9SIbB7zGDoRnWG0sKKnHbY,https://www.google.com/maps/place/?q=place_id:ChIJo9SIbB7zGDoRnWG0sKKnHbY,part_339,2026-09-20 20:47:11
Indane - Tirupati Gas,Importers,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",754031,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Barambagarh S.O, Badakambilo B.O, Damangadia B.O",+91 98619 73048,https://locator.iocl.com/indane/indane-tirupati-gas-gas-agency-badamba-cuttack-210307/Home?utm_source=locator&utm_medium=googleplaces,3.9,,"Ground Floor, Hata Bazar, near Siaria Bridge, Badamba, Deuli, Odisha 754031",754031,20.4164296,85.3302162,ChIJQyYAXUzyGDoRKGikhmd4iAY,https://www.google.com/maps/place/?q=place_id:ChIJQyYAXUzyGDoRKGikhmd4iAY,part_339,2026-09-20 20:47:12
