business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Exim Logistics Private Limited,EXIMS,Transportation service,"Transportation service, Logistics service",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 674 710 7777,https://www.eximlogistics.com/,3.8,219.0,"DLF Cyber City 9th floor, DCB 928-931, Chandaka Industrial Estate, Patia, Bhubaneswar, Odisha 751024","Chandaka Industrial Estate, Patia",20.349085499999997,85.8077856,ChIJd38RvckJGToRQzEXuNUj-Uc,https://www.google.com/maps/place/?q=place_id:ChIJd38RvckJGToRQzEXuNUj-Uc,part_340,2026-09-20 20:18:07,5925
EXIMWORX,EXIMS,Import export company,"Import export company, Business management consultant, Internet marketing service",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 79784 44938,http://eximworx.com/,4.8,40.0,"108, off Eximworx, N2, Block N2, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","N2, Block N2, IRC Village, Nayapalli",20.2929379,85.8055931,ChIJE64VoDIIGToRcgRgz3P-6iQ,https://www.google.com/maps/place/?q=place_id:ChIJE64VoDIIGToRcgRgz3P-6iQ,part_340,2026-09-20 20:18:07,5926
exim internationals,EXIMS,Exporter,Exporter,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 93215 59185,https://www.eximinternationals.com/,5.0,7.0,"Shop number 19, Samrin heritage building, S1, Almeda Rd, opp. to shivsena shakha, Ramabai Ambedkar Nagar, Ganeshwadi, Thane West, Thane, Maharashtra 400601","Ramabai Ambedkar Nagar, Ganeshwadi, Thane West",19.197859899999997,72.9677329,ChIJYXhGopu55zsRmIFo_2o4yrM,https://www.google.com/maps/place/?q=place_id:ChIJYXhGopu55zsRmIFo_2o4yrM,part_340,2026-09-20 20:18:07,5927
Mani Exim Solutions,EXIMS,Foreign Trade Consultant,Foreign Trade Consultant,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 91367 89145,http://manieximsolutions.com/,5.0,28.0,"B Wing, Ashtavinayak Society, Gala No. 001 Ground, behind Jio Petrol Pump, in front of Shri Koneshwar Mahadev Temple, Dharmaniwas, Kon, Kongaon, Bhiwandi, Maharashtra 421311","Dharmaniwas, Kon",19.246763299999998,73.0999365,ChIJq6oOc0yU5zsRaQNpYKuXnP8,https://www.google.com/maps/place/?q=place_id:ChIJq6oOc0yU5zsRaQNpYKuXnP8,part_340,2026-09-20 20:18:07,5928
EXIM SOLUTIONS,EXIMS,Corporate office,Corporate office,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 831 421 3281,N/A,4.3,7.0,"204, Heda Mansion, 2nd Floor, Khanapur Road, Tilakwadi, opposite IOCL Office, Belagavi, Karnataka 590006",Tilakwadi,15.8359568,74.5056486,ChIJceHkeYRmvzsRIySXrhhKyXY,https://www.google.com/maps/place/?q=place_id:ChIJceHkeYRmvzsRIySXrhhKyXY,part_340,2026-09-20 20:18:07,5929
Seair Exim Solutions,EXIMS,Market researcher,"Market researcher, Import export company",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 99900 20716,https://www.seair.co.in/,4.0,98.0,"B1/E3, NH-19, near Mohan Estate Metro Station, opposite Metro Pillar No:-336, Block B1, Block E, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","Block B1, Block E, Mohan Cooperative Industrial Estate, Badarpur",28.510815899999997,77.29686439999999,ChIJxVZ8O83jDDkRXSDGPRUuNyE,https://www.google.com/maps/place/?q=place_id:ChIJxVZ8O83jDDkRXSDGPRUuNyE,part_340,2026-09-20 20:18:07,5930
ODISHA EXIM PVT. LTD,EXIMS,Corporate office,Corporate office,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,N/A,N/A,,,"Plot no. 51, Budheswari Colony, Laxmisagar, Bhubaneswar, Odisha 751006","Budheswari Colony, Laxmisagar",20.267253399999998,85.8453408,ChIJr3d-_sKnGToRYpkZRKYZt7Q,https://www.google.com/maps/place/?q=place_id:ChIJr3d-_sKnGToRYpkZRKYZt7Q,part_340,2026-09-20 20:18:07,5931
MONTA MARKETING,EXIMS,Fire protection equipment supplier,Fire protection equipment supplier,754071,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Kapaleswar S.O,+91 79780 86195,http://montamarketing.com/,5.0,,"OFFICE, PLOT, NO-2C, 172, Sector 9 Main Rd, near Sector 7 Road, ELECTRICITY SBI COLONY, CDA Sector VI, Kataka, Odisha 753014","ELECTRICITY SBI COLONY, CDA Sector VI",20.477820299999998,85.8333638,ChIJuahtAOQRGToRvuVsHKgh0I8,https://www.google.com/maps/place/?q=place_id:ChIJuahtAOQRGToRvuVsHKgh0I8,part_340,2026-09-20 20:20:15,11942
Market complex,EXIMS,Car dealer,Car dealer,754071,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Kapaleswar S.O,N/A,N/A,5.0,,"GWF2+RW, Chaudwar, Odisha 754071",754071,20.5246113,85.9022605,ChIJNWAtmfYTGToRvUtYaLLkygw,https://www.google.com/maps/place/?q=place_id:ChIJNWAtmfYTGToRvUtYaLLkygw,part_340,2026-09-20 20:20:15,11943
Gypexim Private Limited Factory,EXIMS,Manufacturer,Manufacturer,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,https://gypexim.com/,5.0,2.0,"P.O, Dist, Chintamanipur, Bhagatpur, Odisha 754022",754082,20.5834375,85.9946875,ChIJIxtoszlrGToRCq0nON0TyYI,https://www.google.com/maps/place/?q=place_id:ChIJIxtoszlrGToRCq0nON0TyYI,part_340,2026-09-20 20:20:55,15365
Exide Battery Dealer,EXIMS,Battery Store,Battery Store,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 78947 31492,N/A,,,"near HP Petrol Pump, Ankula, Jajpur, Odisha 755001",754082,20.859322199999998,86.309844,ChIJxxpu25XjGzoRs7uFPP4tMvI,https://www.google.com/maps/place/?q=place_id:ChIJxxpu25XjGzoRs7uFPP4tMvI,part_340,2026-09-20 20:20:57,15366
Premium by Adnan,EXIMS,Perfume store,Perfume store,754100,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Fakirpada B.O, Gatiroutpatna B.O, Kandarpur B.O",+91 98617 27833,N/A,5.0,,"At Sutahat, Pansahi galli, Post, Buxi Bazaar, Kataka, Odisha 753001","Sutahat, Post, Buxi Bazaar",20.4734406,85.8672153,ChIJQyJ0WE0TGToR6KM_NeA-DK8,https://www.google.com/maps/place/?q=place_id:ChIJQyJ0WE0TGToR6KM_NeA-DK8,part_340,2026-09-20 20:21:39,17933
Attitude Exim Pvt.Ltd.,EXIMS,Association / Organization,Association / Organization,754100,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Fakirpada B.O, Gatiroutpatna B.O, Kandarpur B.O",N/A,N/A,5.0,,"X-18, Civil Township, Rourkela, Odisha 769012",Civil Township,22.2225196,84.82173949999999,ChIJqe4DIIwZIDoRW26rJlO5LDg,https://www.google.com/maps/place/?q=place_id:ChIJqe4DIIwZIDoRW26rJlO5LDg,part_340,2026-09-20 20:21:39,17934
Lifora exim pvt ltd,EXIMS,Exporter,Exporter,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 78488 39418,http://liforaexim.com/,,,"near Ramchandi Mandir, Jagirpadia, Raghunathpur, Jaganathpur, Odisha 754132",Jagirpadia,20.3619579,86.16826239999999,ChIJYf0VjuB5GToRInQRFLzubCA,https://www.google.com/maps/place/?q=place_id:ChIJYf0VjuB5GToRInQRFLzubCA,part_340,2026-09-20 20:22:21,21219
EXIM SOURCING INDIA,EXIMS,Exporter,"Exporter, Food products supplier, Industrial equipment supplier",754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 98158 77008,http://www.eximsourcingindia.com/,4.9,16.0,"455-456, Garden Enclave, Amritsar, Punjab 143113",Garden Enclave,31.613869899999997,74.9525755,ChIJA3BcybdkGTkRsq9QR9CNf3s,https://www.google.com/maps/place/?q=place_id:ChIJA3BcybdkGTkRsq9QR9CNf3s,part_340,2026-09-20 20:23:44,25013
SHUBHAM EXIM,EXIMS,Exporter,"Exporter, Importer, Fruits & Vegetable Wholesaler",754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 97021 19896,http://shubhamexim.in/,,,"204, Bright Gold, Plot 114, Sector 9, Ulwe, Gavthan, Maharashtra 410206","Sector 9, Ulwe",18.9702573,73.0175821,ChIJVVVV5TfD5zsRM3VvAMQTZPM,https://www.google.com/maps/place/?q=place_id:ChIJVVVV5TfD5zsRM3VvAMQTZPM,part_340,2026-09-20 20:23:44,25014
Exim India Corporation,EXIMS,Chemical Exporter,Chemical Exporter,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",+91 79775 23176,http://www.eximindiacorporation.com/,5.0,,"1, San Mamede Cottage, I C Colony, Borivali, Mumbai, Maharashtra 400103","I C Colony, Borivali",19.2481348,72.8471282,ChIJ8dDQ2Pyw5zsRqMNcnrlqnMw,https://www.google.com/maps/place/?q=place_id:ChIJ8dDQ2Pyw5zsRqMNcnrlqnMw,part_340,2026-09-20 20:27:05,29043
Exim Express Bhutan,EXIMS,Logistics service,Logistics service,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",N/A,https://eximexpress.bt/,3.7,,"At CSI Market campus, Gongphel Lam, Thimphu 11001, Bhutan",Chang Zamtok,27.460755199999998,89.6442019,ChIJB2AZauSV4TkRqmPdtrDtCC8,https://www.google.com/maps/place/?q=place_id:ChIJB2AZauSV4TkRqmPdtrDtCC8,part_340,2026-09-20 20:27:05,29044
Exim Enterprises,EXIMS,Foreign Trade Consultant,Foreign Trade Consultant,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",+91 172 261 5400,http://www.eximchd.com/,3.4,,"Exim Enterprises 1474 G.F, Backside Entry, Sector 42 B,, Chandigarh, 160036","42B, Sector 42",30.7243756,76.7454518,ChIJVVVVBbHtDzkRtsN-Az7y9aU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVBbHtDzkRtsN-Az7y9aU,part_340,2026-09-20 20:27:05,29045
PRIYAM EXIM,EXIMS,Exporter,Exporter,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",N/A,https://priyamexim.com/,,,"4th Floor, WeWork Zenia, Business Park, Hiranandani Cir, Hiranandani Estate, Thane West, Thane, Maharashtra 400607","Hiranandani Estate, Thane West",19.2545905,72.9815339,ChIJp9NDYK-75zsRS85RN5g-uuI,https://www.google.com/maps/place/?q=place_id:ChIJp9NDYK-75zsRS85RN5g-uuI,part_340,2026-09-20 20:27:05,29046
INDIEXIM INTERNATIONAL PRIVATE LIMITED,EXIMS,Import export company,Import export company,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",+91 86172 38332,https://www.indiexim.in/,,,"Ground Floor, 30A, Majumdar, Market, Nabin Chandra Das Rd, Baranagar, Kolkata, West Bengal 700090","Palpara, Baranagar",22.642933499999998,88.385368,ChIJC0vsTuud-DkRBmoVOvSP8cc,https://www.google.com/maps/place/?q=place_id:ChIJC0vsTuud-DkRBmoVOvSP8cc,part_340,2026-09-20 20:27:05,29047
Best Exim And Industrial Consultants,EXIMS,Consultant,Consultant,754109,Odisha circle,Bhubaneswar HQ Region,Cuttack South Division,"Kortal B.O, Ashrampatana B.O, Debidol S.O",+91 95150 20404,https://besteximservices.com/,4.9,,"6-3-790/8 Bathina Apartments 2, Ameerpet, Hyderabad, Telangana 500016","Punjagutta Officers Colony, Ameerpet",17.4331063,78.447717,ChIJr4NkFcKSdAERpJ1stnCSpKM,https://www.google.com/maps/place/?q=place_id:ChIJr4NkFcKSdAERpJ1stnCSpKM,part_340,2026-09-20 20:27:05,29048
SMALL MARKET EXIM,EXIMS,Import export company,"Import export company, Clothing supplier, Electronic parts supplier, Food & Beverage Exporter, International trade consultant, Logistics service, Rice wholesaler, Wholesale market",754112,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Dadhibabanpur B.O, Jharkata B.O, Jhinkiria Berhampur B.O",+91 76570 82819,https://smallmarket.in/,,,"Mahaveer Colony. Adhalia, Plot No: 1381/6976, DPS Kalinga School Road, Phulnakhara, Postal, Odisha 754001",754112,20.356618599999997,85.89491509999999,ChIJKX6QLAIvuQoRRGw0cRFwcW4,https://www.google.com/maps/place/?q=place_id:ChIJKX6QLAIvuQoRRGw0cRFwcW4,part_340,2026-09-20 20:29:09,34854
"UTKAL CONNECT EXIM Holding number 338 second floor Nuasahi,",EXIMS,EXIMS,EXIMS,754112,Odisha circle,Bhubaneswar HQ Region,Cuttack City Division,"Dadhibabanpur B.O, Jharkata B.O, Jhinkiria Berhampur B.O",+91 77996 33776,N/A,,,"khan Nagar Rd, Arunodaya Colony, Kataka, Odisha 753012",Arunodaya Colony,20.4515952,85.8876356,ChIJq6qqqgsNGToRrOqd_hcnRVw,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqgsNGToRrOqd_hcnRVw,part_340,2026-09-20 20:29:09,34855
