business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Newborn & Pediatric Health Centre,Pediatrician and Child Clinic,Hospital,Hospital,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 70082 35512,N/A,3.4,,"Plot No D/54, CDA Sector 7, Kataka, Odisha 753014",CDA Sector 7,20.4742569,85.84012039999999,ChIJW1KHiaARGToRLhTwAaN8B0s,https://www.google.com/maps/place/?q=place_id:ChIJW1KHiaARGToRLhTwAaN8B0s,part_340,2026-09-20 20:17:40,1880
Dr Manjulata Mahanta,Pediatrician and Child Clinic,Pediatrician,Pediatrician,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 90402 83301,http://www.heartmate.co.in/,4.7,,"First Floor, Plot no 1194/9, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.4787166,85.8406986,ChIJI2IKTNoRGToRkbU1R0BD9lE,https://www.google.com/maps/place/?q=place_id:ChIJI2IKTNoRGToRkbU1R0BD9lE,part_340,2026-09-20 20:17:40,1881
Kidy Care Baby Hospital,Pediatrician and Child Clinic,Pediatrician,Pediatrician,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 671 230 5200,N/A,4.3,,"T.V. Road, near Kidy Care Hospital, Tulsipur, Kataka, Odisha 753008",Tulsipur,20.484956399999998,85.8510847,ChIJtfSAM0ETGToR50RjiMbpfcs,https://www.google.com/maps/place/?q=place_id:ChIJtfSAM0ETGToR50RjiMbpfcs,part_340,2026-09-20 20:17:40,1882
Om Child Care Clinic,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Neonatal physician",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 70088 54773,N/A,4.5,,"B-100, Sector-9 Rd, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.4800558,85.8338328,ChIJ-9HI_zERGToR--R9m5Ntw1k,https://www.google.com/maps/place/?q=place_id:ChIJ-9HI_zERGToR--R9m5Ntw1k,part_340,2026-09-20 20:17:40,1883
Dr Priyabrata Panda,Pediatrician and Child Clinic,Child health care center,Child health care center,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 79781 47852,https://picubeats.in/about/,5.0,,"Aarogya Clinic, near Sai Mandir, Gautam Nagar, Bidyadharpur, Kataka, Odisha 753004","Gautam Nagar, Bidyadharpur",20.4504376,85.9245169,ChIJEznWPJgNGToRaMF_j1iHm-A,https://www.google.com/maps/place/?q=place_id:ChIJEznWPJgNGToRaMF_j1iHm-A,part_340,2026-09-20 20:17:40,1884
Dr.Bijay Kumar Meher Pediatric,Pediatrician and Child Clinic,Physician referral service,Physician referral service,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,N/A,N/A,4.6,,"near Union Bank, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.479334599999998,85.83710579999999,ChIJk_p50l8RGToRK1Zz1Hi1HFI,https://www.google.com/maps/place/?q=place_id:ChIJk_p50l8RGToRK1Zz1Hi1HFI,part_340,2026-09-20 20:17:40,1885
Dr. Son Pattnaik,Pediatrician and Child Clinic,Child health care center,Child health care center,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 87638 70819,https://drsonpattnaik.com/,4.2,,"Plot No.- 1172, Mahanadi Vihar, Kataka, Odisha 753004",Mahanadi Vihar,20.4634777,85.9104325,ChIJb9PjTccNGToRL1zdcPdB1sA,https://www.google.com/maps/place/?q=place_id:ChIJb9PjTccNGToRL1zdcPdB1sA,part_340,2026-09-20 20:17:40,1886
Dr Swarupa Panda,Pediatrician and Child Clinic,Pediatrician,Pediatrician,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 63706 14660,N/A,4.7,,"Ranihat Rd, Ranihat, Ranihat Colony, Kataka, Odisha 753007","Ranihat, Ranihat Colony",20.4694893,85.8909061,ChIJb32YIUoNGToRG0kEJ__YcYo,https://www.google.com/maps/place/?q=place_id:ChIJb32YIUoNGToRG0kEJ__YcYo,part_340,2026-09-20 20:17:40,1887
Dr. Sunil kumar Agarwalla,Pediatrician and Child Clinic,Pediatrician,Pediatrician,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 70645 35014,N/A,4.5,,"Naivedya, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.477759799999998,85.8270141,ChIJI0_feUwRGToRB6laT8lsPYs,https://www.google.com/maps/place/?q=place_id:ChIJI0_feUwRGToRB6laT8lsPYs,part_340,2026-09-20 20:17:40,1888
Dr Jyoti Prakash Sahoo MD Paediatrics | Child Doctor | Pediatrician in Cuttack,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Allergist, Emergency care physician, Immunologist, Intensivist, Pulmonologist",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 98619 15675,https://drjyotisahoo.com/,4.8,,"Firingi Bazar, in front of Durga Mandap, Purighat, Rajabagicha, Kataka, Odisha 753001","Purighat, Rajabagicha",20.4617173,85.8657881,ChIJVwW4icUNGToRKbevStM0eiw,https://www.google.com/maps/place/?q=place_id:ChIJVwW4icUNGToRKbevStM0eiw,part_340,2026-09-20 20:17:40,1889
