business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Digital Gaurabh,Growth Marketing,Training center,"Training center, Internet marketing service, Institute of technology, Marketing agency, Software Training Institute",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 83399 62934,http://www.digitalgaurabh.com/,4.9,187,"Basanta Vihar, Plot No- 336/2534, near Lomani villa apartment, Malipada, Bhubaneswar, Gothapatna, Odisha 751029",Malipada,20.289530199999998,85.75030489999999,ChIJq3UqMMULGToRm6JqNvUP4Qs,https://www.google.com/maps/place/?q=place_id:ChIJq3UqMMULGToRm6JqNvUP4Qs,part_340,2026-09-20 20:18:09
Pro Digital Marketing Institute,Growth Marketing,Educational institution,Educational institution,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 83760 43084,https://prodigitalmarketer.in/,5.0,44,"D5, opposite Tarini Mandir, CDA Sector 7, Kataka, Odisha 753014",CDA Sector 7,20.472573699999998,85.8444525,ChIJP8TCuqkRGToRqbGio_7Od14,https://www.google.com/maps/place/?q=place_id:ChIJP8TCuqkRGToRqbGio_7Od14,part_340,2026-09-20 20:18:09
Growth Marketing Hub,Growth Marketing,Marketing agency,"Marketing agency, Service establishment",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 79885 94599,https://www.growthmarketinghub.online/,5.0,3,"Growth Marketing Hub, 754034, India",754034,21.0680074,82.7525294,ChIJg9wLstdl52YR54JZwGnxgwU,https://www.google.com/maps/place/?q=place_id:ChIJg9wLstdl52YR54JZwGnxgwU,part_340,2026-09-20 20:18:09
MarketGrowthX - Digital Marketing Agency In Hubli,Growth Marketing,Internet marketing service,"Internet marketing service, Advertising agency, Market researcher, Marketing agency, Marketing consultant, Website designer",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 63625 50619,https://marketgrowthx.com/,5.0,20,"Lingarajnagar South, Vidya Nagar, Hubballi, Karnataka 580031",Vidya Nagar,15.3665576,75.1150196,ChIJw4QM817XuDsRnCT8LY2bH8s,https://www.google.com/maps/place/?q=place_id:ChIJw4QM817XuDsRnCT8LY2bH8s,part_340,2026-09-20 20:18:09
Razor Growth - Digital Marketing Agency in Bangalore,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Internet marketing service, Marketing consultant",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 91482 60375,https://www.razorgrowth.com/,5.0,29,"Fernhill Gardens, 2Q-W5, Outer Ring Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","Sector 6, HSR Layout",12.9164275,77.6278439,ChIJueOnJ_cVrjsRci5y_5WMZMI,https://www.google.com/maps/place/?q=place_id:ChIJueOnJ_cVrjsRci5y_5WMZMI,part_340,2026-09-20 20:18:09
Growth Marketing,Growth Marketing,Business to business service,"Business to business service, Service establishment",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,01723-940175,N/A,5.0,1,"Growth Marketing, 754034, India",754034,23.750728199999998,89.94975,ChIJjwl7RTYx_AgRNmwcfBhviys,https://www.google.com/maps/place/?q=place_id:ChIJjwl7RTYx_AgRNmwcfBhviys,part_340,2026-09-20 20:18:09
Growth Mythos,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Service establishment",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 78277 05730,https://www.growthmythos.com/,5.0,3,"Growth Mythos, 754034, India",754034,28.1575438,77.0595484,ChIJ88f9-qy8AUoRaQfpoZXf2T0,https://www.google.com/maps/place/?q=place_id:ChIJ88f9-qy8AUoRaQfpoZXf2T0,part_340,2026-09-20 20:18:09
Growth Box,Growth Marketing,Marketing agency,"Marketing agency, Internet marketing service, Website designer",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 83988 56144,https://thegrowthbox.in/,4.9,282,"2nd Floor, Plot No, Next57, 25, Industrial Area Phase I, Chandigarh, 160002",Industrial Area Phase I,30.7116728,76.80886919999999,ChIJ7zL1VNvsDzkRbcWFNq1yYxs,https://www.google.com/maps/place/?q=place_id:ChIJ7zL1VNvsDzkRbcWFNq1yYxs,part_340,2026-09-20 20:18:09
GrowthBox,Growth Marketing,Marketing agency,"Marketing agency, Internet marketing service",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 83988 56144,https://thegrowthbox.in/,4.9,147,"44L, near Shri Krishna Wala, Model Town, Rohtak, Haryana 124001",Model Town,28.8906642,76.6086534,ChIJfyaXCZ-FDTkRliF4uDh_Zvg,https://www.google.com/maps/place/?q=place_id:ChIJfyaXCZ-FDTkRliF4uDh_Zvg,part_340,2026-09-20 20:18:10
Growthway Advertising | Digital marketing Agency,Growth Marketing,Internet marketing service,"Internet marketing service, Marketing agency, Marketing consultant",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 77092 80369,https://growthwayadvertising.com/,4.9,12,"Office No - 703, ANP Landmark, Sr. no. 89, Bhumkar Chowk, Hinjewadi - Wakad Rd, near golden care hospital, Pune, Maharashtra 411057","Bhumkar Nagar, Wakad",18.6011801,73.7472231,ChIJdwGqEG65wjsRMzNQhpDqTQ0,https://www.google.com/maps/place/?q=place_id:ChIJdwGqEG65wjsRMzNQhpDqTQ0,part_340,2026-09-20 20:18:10
