business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manorama tours and travels,Tour and Travel Operator,Travel agency,"Travel agency, Tour operator",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 82494 98851,https://manoramatoursandtravels.com/,4.9,91.0,"near sims college, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.483667399999998,85.8235857,ChIJ_4MKfzIRGToRkpSWZyycplk,https://www.google.com/maps/place/?q=place_id:ChIJ_4MKfzIRGToRkpSWZyycplk,part_340,2026-09-20 20:17:45
Rekha Travels,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 87639 75125,N/A,4.9,132.0,"Kathagada Sahi Rd, Kathagada Sahi, Daragha Bazaar, Kataka, Odisha 753001","Kathagada Sahi, Daragha Bazaar",20.464268,85.871742,ChIJszW6V4wNGToRRhTkISY1z2k,https://www.google.com/maps/place/?q=place_id:ChIJszW6V4wNGToRRhTkISY1z2k,part_340,2026-09-20 20:17:45
Shree Ram Travels,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 94398 14743,N/A,4.6,44.0,"CDA Sector 13, Kataka, Odisha 753015",CDA Sector 13,20.4844981,85.8025773,ChIJtRyUZUkRGToRpI-QcC3fVNo,https://www.google.com/maps/place/?q=place_id:ChIJtRyUZUkRGToRpI-QcC3fVNo,part_340,2026-09-20 20:17:45
Saanvi Tour & Travels,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 94379 80960,N/A,5.0,42.0,"khan Nagar Rd, High Court Colony, Arunodaya Colony, Kataka, Odisha 753012","High Court Colony, Arunodaya Colony",20.4507841,85.8862645,ChIJezhbIAANGToRFBLvtSeSTf0,https://www.google.com/maps/place/?q=place_id:ChIJezhbIAANGToRFBLvtSeSTf0,part_340,2026-09-20 20:17:45
MAHALAXMI TRAVELS,Tour and Travel Operator,Tour agency,Tour agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 82498 52965,N/A,4.9,8.0,"SH 65, Maniabandha, Odisha 754034",754034,20.4381693,85.4324802,ChIJRQyVdqDxGDoRpSLSCAAeg_U,https://www.google.com/maps/place/?q=place_id:ChIJRQyVdqDxGDoRpSLSCAAeg_U,part_340,2026-09-20 20:17:45
SONTHALIA HOLIDAYS,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 98610 18177,N/A,4.8,55.0,"HIGH COURT, ROAD, Nimchouri, Kataka, Odisha 753002",Nimchouri,20.465261899999998,85.86063209999999,ChIJc0MW48kNGToRMMXl-YpMrW8,https://www.google.com/maps/place/?q=place_id:ChIJc0MW48kNGToRMMXl-YpMrW8,part_340,2026-09-20 20:17:45
SHREE RADHE TRAVELS,Tour and Travel Operator,Travel agency,"Travel agency, Car leasing service, Car rental agency, Food products supplier, Minibus taxi service, Taxi service",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 91241 05405,https://wa.link/vov0c3,5.0,234.0,"At-Food Parlour, Ice Factory, Road College Square, Municipal Colony, Kataka, Odisha 753003",Municipal Colony,20.467677899999998,85.8963765,ChIJuQIZkgENGToRgHvMOx61Aio,https://www.google.com/maps/place/?q=place_id:ChIJuQIZkgENGToRgHvMOx61Aio,part_340,2026-09-20 20:17:45
Shihab Tours and Travels,Tour and Travel Operator,Travel agency,"Travel agency, Tour agency",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 70776 31555,N/A,5.0,32.0,"Raisunguda, opposite of Shakti Sai Hospital, Rai Sungra, Salipur, Odisha 754221",Rai Sungra,20.520618199999998,86.1489416,ChIJb9qsl4xlGToR9sjHID3oSjo,https://www.google.com/maps/place/?q=place_id:ChIJb9qsl4xlGToR9sjHID3oSjo,part_340,2026-09-20 20:17:45
Cuttack Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,N/A,N/A,3.8,5.0,"Nuasahi Rd, Bidanasi, Kataka, Odisha 753014",Bidanasi,20.485547,85.83269419999999,ChIJJ19QmhwNGToRBrAoJ-fxAdU,https://www.google.com/maps/place/?q=place_id:ChIJJ19QmhwNGToRBrAoJ-fxAdU,part_340,2026-09-20 20:17:45
Dolphin Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 70644 71612,http://dolphinbusservice.com/,4.0,577.0,"Plot no:1446 & 1447/1, 1st Floor, National Highway 5, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",Jagatpur Industrial Estate,20.500695699999998,85.9273736,ChIJL_ekUsoSGToR4ldDd9mneq4,https://www.google.com/maps/place/?q=place_id:ChIJL_ekUsoSGToR4ldDd9mneq4,part_340,2026-09-20 20:17:45
