business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Birla Opus Paint Gallery - Shree Ganesh Hardware,Paint and Putty Dealer,Paint store,"Paint store, Paint Manufacturer, Painting",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 8071 877 178,http://www.birlaopus.com/?utm_source=Google&utm_medium=GMB,5.0,,"PATNAIK PARK, Plot No -6CM/1627, lane infront of Biju, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.4837614,85.81478109999999,ChIJW4BAIugRGToReNb9zX-MmzQ,https://www.google.com/maps/place/?q=place_id:ChIJW4BAIugRGToReNb9zX-MmzQ,part_340,2026-09-20 20:18:29
PARBATI PAINTS AND HARDWARE,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 98610 88042,N/A,4.1,,"Bidanasi, Kataka, Odisha 753014",Bidanasi,20.4836234,85.8377196,ChIJh5fUWeURGToRSnBE2sHrMBE,https://www.google.com/maps/place/?q=place_id:ChIJh5fUWeURGToRSnBE2sHrMBE,part_340,2026-09-20 20:18:29
Kalinga Interior And Paints Pvt Ltd,Paint and Putty Dealer,Paint store,"Paint store, Aluminium Supplier, Ceiling supplier, Cement Supplier, Chimney services, Door shop, Hardware store, Interior designer, Modular home dealer, Plywood supplier",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 79789 07338,N/A,5.0,,"Near prajatantra press, Chandini Chowk, Kataka, Odisha 753002",Chandini Chowk,20.468683799999997,85.8577316,ChIJO_x8jlUPGToRBTbj0613vFQ,https://www.google.com/maps/place/?q=place_id:ChIJO_x8jlUPGToRBTbj0613vFQ,part_340,2026-09-20 20:18:29
Phulwari Paints,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 94373 34243,N/A,4.1,,"PRESS CHOWK, Wholesale Fish Market, Khannagar Rd, opposite Govt ITI, Surya Vihar, Kataka, Odisha 753010",Surya Vihar,20.445956199999998,85.89585009999999,ChIJzf63aAwNGToRvIBu8s_fCrc,https://www.google.com/maps/place/?q=place_id:ChIJzf63aAwNGToRvIBu8s_fCrc,part_340,2026-09-20 20:18:29
Maa Bhuasuni Paints & Hardware,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 63720 48537,N/A,5.0,,"CDA, Sector 13, Kataka, Odisha 753015",Sector 13,20.4864103,85.80110429999999,ChIJl6cR_TitGDoRXtRtY0WSxjw,https://www.google.com/maps/place/?q=place_id:ChIJl6cR_TitGDoRXtRtY0WSxjw,part_340,2026-09-20 20:18:29
Cuttack paints and hardware store,Paint and Putty Dealer,Hardware store,Hardware store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 97778 86601,N/A,5.0,,"Nuapatna Rd, near post office, Municipal Colony, Kataka, Odisha 753003",Municipal Colony,20.466639999999998,85.89663999999999,ChIJE4cCbAANGToRxpdd0aD02j0,https://www.google.com/maps/place/?q=place_id:ChIJE4cCbAANGToRxpdd0aD02j0,part_340,2026-09-20 20:18:29
Asian Paints & wallpaper & 3D paint,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 1800 209 5678,https://colourideas-dealers-nearme.asianpaints.com/asian-paints-colourideas-utkal-hardware-paint-shop-naya-sarak-cuttack-119466/Home,4.3,,"FW2F+5W3, Cuttack - Paradeep Rd, Gautam Nagar, Naya Bazaar, Kataka, Odisha 753004","Gautam Nagar, Naya Bazaar",20.4503861,85.924792,ChIJYx8t40kNGToR5Q0-CZffd_A,https://www.google.com/maps/place/?q=place_id:ChIJYx8t40kNGToR5Q0-CZffd_A,part_340,2026-09-20 20:18:29
Oxford Paints & Chemicals I Paver Machinery and Chemicals,Paint and Putty Dealer,Manufacturer,"Manufacturer, Chemical Manufacturer, Real Estate Builders & Construction Company, Construction machine dealer, Exporter, Paint Manufacturer, Paving materials supplier",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 79782 27790,http://www.oxfordpaints.com/,4.8,43.0,"Corporate office S.C, R-3, VSS Nagar, Bhubaneswar, Odisha 751007",VSS Nagar,20.3041703,85.84843359999999,ChIJ_f__P4sJGToR7WPilFtytpY,https://www.google.com/maps/place/?q=place_id:ChIJ_f__P4sJGToR7WPilFtytpY,part_340,2026-09-20 20:18:30
UTKAL HARDWARE & PAINTS,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 78948 14315,N/A,4.0,2.0,"Plot No - 93, near Hp Petrol Pump, Trisulia Chhaka, Padmalava nagar, Odisha 754005",Trisulia Chhaka,20.4510218,85.816879,ChIJe1GLczcOGToRDszUTZoyR4A,https://www.google.com/maps/place/?q=place_id:ChIJe1GLczcOGToRDszUTZoyR4A,part_340,2026-09-20 20:18:31
Nerolac Center - Mahalaxmi Store,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 82493 08846,https://www.nerolac.com/?utm_source=google_maps&utm_medium=organic,,,"9Ggj+8M7, Plot No:440, Main Road, near Mini Stadium, Banki, Odisha 754008",754035,20.376179099999998,85.5313145,ChIJV9GfN4T9GDoR7aMTsBULvEI,https://www.google.com/maps/place/?q=place_id:ChIJV9GfN4T9GDoR7aMTsBULvEI,part_340,2026-09-20 20:18:31
M/s pradhan enterprises,Paint and Putty Dealer,Paint store,Paint store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 95830 43525,N/A,5.0,,"near state bank of india, Gandarpur, Kataka, Odisha 753003",Gandarpur,20.466816299999998,85.9048067,ChIJLZ08oKwNGToRadUEEp5Qxco,https://www.google.com/maps/place/?q=place_id:ChIJLZ08oKwNGToRadUEEp5Qxco,part_340,2026-09-20 20:18:31
