business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jain Marbles,Tile and Marble Showroom,Tile store,"Tile store, Granite supplier, Marble supplier",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 95834 42252,https://stores.nitco.in/nitco/tiles-shop-in-cuttack/tiles-shop-in-Sector-10/nitco-tiles-jain-marbles-in-Sector-10-cuttack--1tcLtB/home,4.5,77.0,"Plot No 1627/A, nearby Bijupatnaik Park, CDA Sec - 10, Kataka, Odisha 753014",CDA Sec - 10,20.4837103,85.814381,ChIJXVVVVcURGToR1dfeiY7WIV0,https://www.google.com/maps/place/?q=place_id:ChIJXVVVVcURGToR1dfeiY7WIV0,part_340,2026-09-20 20:18:29
Orissa Marble & Sanitary House,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",N/A,N/A,4.9,10.0,"Jobra Rd, Jobra Colony, Kataka, Odisha 753003",Jobra Colony,20.4747411,85.8972364,ChIJ1yuyrHUSGToRNrdV4HtA_cE,https://www.google.com/maps/place/?q=place_id:ChIJ1yuyrHUSGToRNrdV4HtA_cE,part_340,2026-09-20 20:18:29
S.S. Tiles,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 94370 95470,N/A,4.4,55.0,"Dahaliabag, Bhanpur, Urali, Odisha 753011","Dahaliabag, Bhanpur",20.415854,85.880905,ChIJEfLcGhoNGToRgZGxkAeA5sc,https://www.google.com/maps/place/?q=place_id:ChIJEfLcGhoNGToRgZGxkAeA5sc,part_340,2026-09-20 20:18:29
Maa Mangala Marbles & Tiles,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 93377 77063,N/A,4.0,57.0,"6QVF+WC9, opposite to Union Bank, Aiginia, Shreekhetra Vihar, Patrapada, Bhubaneswar, Odisha 751019","Aiginia, Shreekhetra Vihar, Patrapada",20.244779599999998,85.7736113,ChIJxTyvRsqnGToR7bXQgQCNuEA,https://www.google.com/maps/place/?q=place_id:ChIJxTyvRsqnGToR7bXQgQCNuEA,part_340,2026-09-20 20:18:29
JAY SHREE RAM TILES AND MARBLES,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 98615 17101,N/A,4.7,,"NEAR MAA TARINI TEMPLE , CUTTACK BARAL MAIN ROAD, Cuttack-42 Mouza Rd, Odisha 754112",Duibati,20.421110499999998,85.91728189999999,ChIJ75p3Dv0NGToRex_qDhf49XI,https://www.google.com/maps/place/?q=place_id:ChIJ75p3Dv0NGToRex_qDhf49XI,part_340,2026-09-20 20:18:30
SHREE MAA CERAMICS,Tile and Marble Showroom,Building materials supplier,"Building materials supplier, Chemical wholesaler, Tile store",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 75409 31008,http://www.shreemaaceramics.com/,4.9,,"khapuria/press chowk,Madhupatna,Cuttack-10, Infront Of Govt ITI Hostel Madhupatna, Industrial Estate Rd, Industrial Estate Khapuria, Kataka, Odisha 753010","Khanna Nagar, Industrial Estate Khapuria",20.443946,85.8994482,ChIJlx35bgwNGToRvNvepAKue-8,https://www.google.com/maps/place/?q=place_id:ChIJlx35bgwNGToRvNvepAKue-8,part_340,2026-09-20 20:18:30
SHREEMAA MARBLES - KORADAKANTA,Tile and Marble Showroom,Tile store,"Tile store, Bathroom remodeler, Granite supplier",754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 80180 55036,https://www.shreemaa.co.in/,4.6,,"MANGRAJ POINT, PLOT NO. 167, Cuttack - Puri Bypass Rd, Kesora, Bhubaneswar, Odisha 751006",754035,20.2829397,85.8732311,ChIJm3udN3OhGToRqbIrfffGoUo,https://www.google.com/maps/place/?q=place_id:ChIJm3udN3OhGToRqbIrfffGoUo,part_340,2026-09-20 20:18:30
SIMPOLO TILES & BATHWARE - L and T Marble,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 99370 14172,http://www.simpolo.net/,4.8,,"Bidanasi, Kataka, Odisha 753014",Bidanasi,20.4832492,85.83766659999999,ChIJKw3Re3ERGToRLWv5Fw6l08w,https://www.google.com/maps/place/?q=place_id:ChIJKw3Re3ERGToRLWv5Fw6l08w,part_340,2026-09-20 20:18:30
M/s. Omm Santi Marble,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 671 234 1620,N/A,4.5,,"Link Rd, near YES BANK, Surya Vihar, Kataka, Odisha 753012",Surya Vihar,20.448980199999998,85.8946471,ChIJE5E0VgsNGToRvD0eGYPEFGc,https://www.google.com/maps/place/?q=place_id:ChIJE5E0VgsNGToRvD0eGYPEFGc,part_340,2026-09-20 20:18:30
Elite Tiles & Marble,Tile and Marble Showroom,Marble supplier,Marble supplier,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",+91 78731 71175,http://www.elitetiles.in/,4.6,,"near Ashok Dhal Clinic, Binjharpur, Odisha 755004",754035,20.728685499999997,86.40363959999999,ChIJKw9WcQ_nGzoRT91N5ubNiIM,https://www.google.com/maps/place/?q=place_id:ChIJKw9WcQ_nGzoRT91N5ubNiIM,part_340,2026-09-20 20:18:30
Kalarudra construction,Tile and Marble Showroom,Tile store,Tile store,754035,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nuapatna S.O, Abhimanpur B.O, Kankadajodi B.O",N/A,N/A,4.1,,"Salipur, Cuttack, Odisha 754202",754035,20.4796035,86.10127179999999,ChIJj1bdKB9lGToRKFFvbVXepSE,https://www.google.com/maps/place/?q=place_id:ChIJj1bdKB9lGToRKFFvbVXepSE,part_340,2026-09-20 20:18:30
