business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nelia market complex,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.5,11.0,"HWJM+2GG, Unnamed Road, Nelia, Odisha 754025",754082,20.5800657,85.9338375,ChIJeQA4QlJrGToRG5ISbmGv8VU,https://www.google.com/maps/place/?q=place_id:ChIJeQA4QlJrGToRG5ISbmGv8VU,part_340,2026-09-20 20:20:58
Shopping Mall,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,5.0,6.0,"J358+G3V, Paikarapur, Odisha 754023",754082,20.6088922,86.0651285,ChIJddz5eAxpGToRN2xKmsSyFQw,https://www.google.com/maps/place/?q=place_id:ChIJddz5eAxpGToRN2xKmsSyFQw,part_340,2026-09-20 20:20:58
BHARATI MARKET COMPLEX,Commercial Complex,Market,Market,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,,,"Q23R+C48, Samparu, Paikerapur, Odisha 755023",754082,20.753535499999998,86.0403303,ChIJEZ0XVgBDGToRT0xdWq09qB4,https://www.google.com/maps/place/?q=place_id:ChIJEZ0XVgBDGToRT0xdWq09qB4,part_340,2026-09-20 20:20:58
Ritu collection,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.9,16.0,"HXGM+XQR, Bhagatpur, Haduotta, Tangi, Odisha 754022",754082,20.5774875,85.9843906,ChIJL4F9bENrGToRcrMsy1Xs994,https://www.google.com/maps/place/?q=place_id:ChIJL4F9bENrGToRcrMsy1Xs994,part_340,2026-09-20 20:20:58
Chhatia Fancy,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,3.7,20.0,"J366+PW5, Kalakala - Chhatia Rd, Chhatia, Solara, Odisha 754023",754082,20.6117557,86.0623729,ChIJ6zEIb_poGToRH0bTWJUdI1U,https://www.google.com/maps/place/?q=place_id:ChIJ6zEIb_poGToRH0bTWJUdI1U,part_340,2026-09-20 20:20:58
Sahoo Market Complex,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,3.7,11.0,"Kharamangi, Kolhasinga, Odisha 755044",754082,20.719614399999998,86.0461318,ChIJe7_NO6xDGToRtoE1C9FUMkw,https://www.google.com/maps/place/?q=place_id:ChIJe7_NO6xDGToRtoE1C9FUMkw,part_340,2026-09-20 20:20:58
GOTHADA MARKET COMPLEX,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,3.0,2.0,"GOTHADA MARKET COMPLEX, Uttrol, Jasarajpur, Odisha 755063",754082,20.5845788,86.0817933,ChIJTXKFMaZvGToReDMQ3P5smq8,https://www.google.com/maps/place/?q=place_id:ChIJTXKFMaZvGToReDMQ3P5smq8,part_340,2026-09-20 20:20:58
Swain Traders,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.5,6.0,"JX92+MMJ Biswanakahani market, Garudagaon, Odisha 754022",754082,20.6192036,85.95164779999999,ChIJny1PbuBqGToRQOhmlEkh7Jc,https://www.google.com/maps/place/?q=place_id:ChIJny1PbuBqGToRQOhmlEkh7Jc,part_340,2026-09-20 20:20:58
Bidyadharpur Chhatia Jajpur,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.3,3.0,"J333+2X9, bidyadharpur, Chhatia, Odisha 754023",754082,20.602547299999998,86.05498659999999,ChIJm58GXX1pGToR47HTmqKawXg,https://www.google.com/maps/place/?q=place_id:ChIJm58GXX1pGToR47HTmqKawXg,part_340,2026-09-20 20:20:58
Sukant Bettle Shop,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.7,3.0,"J2JM+MVF, Byree, Bairi, Odisha 754082",Byree,20.631692899999997,86.03468459999999,ChIJS1QZL71pGToRZGCTy_EuBQQ,https://www.google.com/maps/place/?q=place_id:ChIJS1QZL71pGToRZGCTy_EuBQQ,part_340,2026-09-20 20:20:58
Vasia Disel,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,5.0,3.0,"M2QQ+MQ9, Paida, Odisha 755044",754082,20.6891657,86.0394888,ChIJFbr1uGlCGToRdMUoErCqBr4,https://www.google.com/maps/place/?q=place_id:ChIJFbr1uGlCGToRdMUoErCqBr4,part_340,2026-09-20 20:20:58
Pamchamukhi Mobile,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 90401 36136,N/A,3.0,2.0,"J368+4RX, Paikarapur, Odisha 754023",754082,20.6103561,86.06710439999999,ChIJ642em_FoGToRN6rtewgB3Vk,https://www.google.com/maps/place/?q=place_id:ChIJ642em_FoGToRN6rtewgB3Vk,part_340,2026-09-20 20:20:58
ଭାଲୁ ଭେରାଇଟ୍ ଷ୍ଟୋର୍,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,2.5,2.0,"PX4M+RGG, Samian, Odisha 754082",754082,20.707055699999998,85.9838235,ChIJE0igHPRBGToR447Fdydzdm0,https://www.google.com/maps/place/?q=place_id:ChIJE0igHPRBGToR447Fdydzdm0,part_340,2026-09-20 20:20:58
Subham video & photo graphic,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,5.0,2.0,"HXHH+QXV, Kapilash Road, Bhagatpur, Odisha 754022",754082,20.579487699999998,85.9799347,ChIJPzKKtVNrGToRIAFqEmKUCcA,https://www.google.com/maps/place/?q=place_id:ChIJPzKKtVNrGToRIAFqEmKUCcA,part_340,2026-09-20 20:20:58
SUBHAM DIGITAL VIDEO & PHOTO GRAPHIC,Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,,,"HXJH+842, Bhagatpur, Bada-pokhari, Odisha 754022",754082,20.580769699999998,85.9777754,ChIJFSaDsXtrGToRoiqCuZ4fMx4,https://www.google.com/maps/place/?q=place_id:ChIJFSaDsXtrGToRoiqCuZ4fMx4,part_340,2026-09-20 20:20:58
Iswar Vai Basan Vandar (Gopa Pur Chhaka Chhatia),Commercial Complex,Shopping mall,Shopping mall,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,,,"J336+VGC, Unnamed Road, Chhatia, Amarabatipatna, Odisha 754023",754082,20.6046946,86.0612561,ChIJ0Xe3tJdpGToRFNjwRv_K7q8,https://www.google.com/maps/place/?q=place_id:ChIJ0Xe3tJdpGToRFNjwRv_K7q8,part_340,2026-09-20 20:20:58
byree market complex,Commercial Complex,Market,Market,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,5.0,,"J2JP+F77, Byree, Bairi, Odisha 754082",Byree,20.6311577,86.035686,ChIJPUBJLaNpGToRbCdymNwTZzg,https://www.google.com/maps/place/?q=place_id:ChIJPUBJLaNpGToRbCdymNwTZzg,part_340,2026-09-20 20:20:58
