business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swastik Cool Ice cream factory,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.8,,"Upper, Baruan Road, Odisha 755009",754082,20.8051893,86.2585459,ChIJCYt89hXjGzoR7GHGFu7YVVM,https://www.google.com/maps/place/?q=place_id:ChIJCYt89hXjGzoR7GHGFu7YVVM,part_340,2026-09-20 20:20:23
Arun ice cream and diary product's,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 94376 28280,N/A,4.7,,"Mahaveer Colony, Byasanagar, Odisha 755019",Mahaveer Colony,20.9546875,86.1275625,ChIJT7YCsbhTGToRmU7o37xQjQA,https://www.google.com/maps/place/?q=place_id:ChIJT7YCsbhTGToRmU7o37xQjQA,part_340,2026-09-20 20:20:23
"Amul ice cream parlour ,Ambikai chaka, jajpur town",Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.5,,"Ambikai chaka, Jajpur, Odisha 755001",754082,20.845339,86.33717419999999,ChIJLzgFLqjjGzoRKUeAK3Qh38w,https://www.google.com/maps/place/?q=place_id:ChIJLzgFLqjjGzoRKUeAK3Qh38w,part_340,2026-09-20 20:20:23
Amul Parlour,Ice Cream Parlour,Cafe,Cafe,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 1800 258 3333,N/A,4.7,,"Chhatia, Solara, Odisha 754023",754082,20.6120436,86.062302,ChIJKzTM0H5pGToRZlXu99NYqw4,https://www.google.com/maps/place/?q=place_id:ChIJKzTM0H5pGToRZlXu99NYqw4,part_340,2026-09-20 20:20:23
tasty ice cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.3,,"H3VR+WHG, sasan, Jasarajpur, Mauda, Odisha 755063",754082,20.5948048,86.0914572,ChIJTZzeS5hpGToR1D9YQpsaOS4,https://www.google.com/maps/place/?q=place_id:ChIJTZzeS5hpGToR1D9YQpsaOS4,part_340,2026-09-20 20:20:23
Baba Amareswar Lassi and FASTFOOD Parlour,Ice Cream Parlour,Fast food restaurant,"Fast food restaurant, Juice shop",754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,4.5,,"Amareswar market, near Radhakrishna Fashion world, Chhatia, Odisha 754023",754082,20.6102447,86.0647091,ChIJczWEprJpGToRAWoDey5tHfQ,https://www.google.com/maps/place/?q=place_id:ChIJczWEprJpGToRAWoDey5tHfQ,part_340,2026-09-20 20:20:23
The amrut bar and restaurant,Ice Cream Parlour,Bar,"Bar, Restaurant",754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,3.7,,"J387+64G, Chhatia, Solara, Odisha 754023",754082,20.615555399999998,86.0628196,ChIJA6Pe3floGToR0QHFzWNhSqE,https://www.google.com/maps/place/?q=place_id:ChIJA6Pe3floGToR0QHFzWNhSqE,part_340,2026-09-20 20:20:23
BAR BLUE ROMEO,Ice Cream Parlour,Bar,Bar,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 94377 80500,N/A,3.8,,"Bhagatpur, Tangi, Odisha 754022",754082,20.5872863,85.96706329999999,ChIJ3YyPP0ZrGToRZUQhetMqS0c,https://www.google.com/maps/place/?q=place_id:ChIJ3YyPP0ZrGToRZUQhetMqS0c,part_340,2026-09-20 20:20:23
Sahoo variety store,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,5.0,,"Q24C+8XX, Unnamed Road, Bidharpur, Odisha 759016",754082,20.7558537,86.0224839,ChIJUV3_v2pDGToRvt7mrlo9jb4,https://www.google.com/maps/place/?q=place_id:ChIJUV3_v2pDGToRvt7mrlo9jb4,part_340,2026-09-20 20:20:23
R.B Milk Parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 83288 76031,N/A,,,"Nelia, Chadeipada, Odisha 754023",754082,20.5884213,86.0516857,ChIJq87Qg9NpGToRB8C8EArcBx8,https://www.google.com/maps/place/?q=place_id:ChIJq87Qg9NpGToRB8C8EArcBx8,part_340,2026-09-20 20:20:23
Sahoo variety store,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",N/A,N/A,,,"P2C4+RGG, Unnamed Road, Purnia, Odisha 754082",754082,20.722070499999997,86.0063158,ChIJoayfTSZBGToR150ZEOyVckg,https://www.google.com/maps/place/?q=place_id:ChIJoayfTSZBGToR150ZEOyVckg,part_340,2026-09-20 20:20:23
Sk SALIMUDDIN,Ice Cream Parlour,Ice cream shop,Ice cream shop,754082,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"BYREE S.O, BARUNIA B.O, Kalakala B.O",+91 77499 38113,N/A,,,"Sk anisuddin Home, 755044, Darpan, Chandikhol, Darpangarh, Odisha 755044",Darpan,20.702789199999998,86.06788619999999,ChIJ3XKLxyxDGToRgA5QwFRsL2k,https://www.google.com/maps/place/?q=place_id:ChIJ3XKLxyxDGToRgA5QwFRsL2k,part_340,2026-09-20 20:20:23
