business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashirwad Clinic & Skin Care Centre,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 63075 45300,N/A,5.0,,"prayagraj road, Mungra Badshahpur, Uttar Pradesh 222202",754102,25.653358899999997,82.1846103,ChIJ81zOTxynmjkRXP45ZoHbCZI,https://www.google.com/maps/place/?q=place_id:ChIJ81zOTxynmjkRXP45ZoHbCZI,part_340,2026-09-20 20:21:54
Skin care center,Skin Clinic and Dermatologist,Dermatologist,"Dermatologist, Service establishment",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,4.6,,"Skin care center, 754102, India",754102,26.6420681,85.2200008,ChIJ23BIOxXB7DkRif5jLzBXchk,https://www.google.com/maps/place/?q=place_id:ChIJ23BIOxXB7DkRif5jLzBXchk,part_340,2026-09-20 20:21:54
Patel Skin Care,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,5.0,,"2J53+XJ8, Bhakarwadi, Maharashtra 431154",754102,20.0099248,75.6040858,ChIJVzdKCQCx2zsRiNiVnAn6Z34,https://www.google.com/maps/place/?q=place_id:ChIJVzdKCQCx2zsRiNiVnAn6Z34,part_340,2026-09-20 20:21:54
SKIN & VD CLINIC,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,http://www.medilinkhealthcaregroup.com/,5.0,,"PLOT NO/1477/15800,NH 16,SATYA VIHAR CHWOCK BESIDES SAPTASATI, MANDIR FLY OVER, Palasuni, Bhubaneswar, Odisha 751010","Palasuni, Rasulgarh",20.307778499999998,85.8702745,ChIJH74IVJMLGToR3vLYBZxzFyM,https://www.google.com/maps/place/?q=place_id:ChIJH74IVJMLGToR3vLYBZxzFyM,part_340,2026-09-20 20:21:54
Dr. Satyabrata Tripathy,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair transplantation clinic, Hospital, Laser hair removal service, Dermatologist",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 80 4696 1837,https://www.apollo247.com/doctors/dr-Satyabrata-Tripathy-d15f0260-5c0b-4f3a-bced-7b08577841ae?utm_source=EP_GMB&utm_medium=EP_GMB_organic&utm_campaign=EP_GMBpost,4.5,,"251, Sainik School Rd, Unit-15, Gajapati Nagar, Bhubaneswar, Odisha 751013","Unit-15, Gajapati Nagar",20.3057738,85.8319942,ChIJYf9j65AJGToR3vTITcim2HQ,https://www.google.com/maps/place/?q=place_id:ChIJYf9j65AJGToR3vTITcim2HQ,part_340,2026-09-20 20:21:54
CUTEXX SKIN CARE SKIN HAIR & LASER CLINIC SILCHAR ASSAM | Dr. Kinnor Das Best Dermatologist in Silchar Assam,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Dermatologist, Tattoo removal service",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 99549 61787,https://www.cutexxskincare.com/,4.9,,"Ambicapatty, Kanakpur Part-II, Assam 788001",Ambicapatty,24.8170492,92.7990806,ChIJaWgjrK9LTjcR1Xw9tmHIpdI,https://www.google.com/maps/place/?q=place_id:ChIJaWgjrK9LTjcR1Xw9tmHIpdI,part_340,2026-09-20 20:21:55
Dermacity Skin Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Doctor, Hair removal service, Health consultant, Laser hair removal service, Medical clinic, Pediatric dermatologist, Dermatologist",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 77092 71086,http://dermacityskinclinics.com/,4.9,,"B wing, 1st Floor, Neeti Gaurav Complex, Central Bazar Road, Ramdaspeth, Nagpur, Maharashtra 440010",Ramdaspeth,21.1352954,79.0771505,ChIJm98iSpDA1DsRlMm_xhr_nkg,https://www.google.com/maps/place/?q=place_id:ChIJm98iSpDA1DsRlMm_xhr_nkg,part_340,2026-09-20 20:21:55
Dr. Neha Rathi,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Doctor, Hair removal service, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Dermatologist",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 74478 85231,https://www.drneharathiskinspecialist.in/,4.7,,"2nd Floor T, pt, Salasar sq, opp. Metro Pillar No. 266, Congress Nagar, Dhantoli, Nagpur, Maharashtra 440012","Congress Nagar, Dhantoli",21.1305049,79.08316769999999,ChIJGcw1NJjA1DsRV71ew6DJem4,https://www.google.com/maps/place/?q=place_id:ChIJGcw1NJjA1DsRV71ew6DJem4,part_340,2026-09-20 20:21:55
Dermashine clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair removal service, Hair transplantation clinic, Laser hair removal service, Dermatologist, Tattoo removal service",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 98606 11266,http://dr.shweta02dermashineclinic.com/,4.9,,"Dabholkar complex 1st floor Near Datta Mandir Bahadurshaikh Naka kherdi, Kherdi, Maharashtra 415604",Kherdi Dattwadi,17.5215666,73.5398353,ChIJXZRZbG0HwjsRR5jnSMrs1Do,https://www.google.com/maps/place/?q=place_id:ChIJXZRZbG0HwjsRR5jnSMrs1Do,part_340,2026-09-20 20:21:56
Skin care Clinic Dr Rakesh Ranjan,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 70809 99985,N/A,5.0,,"front Petrol pump, Deewanganj, Bibiya Karanpur, Maulani, Uttar Pradesh 230142",Deewanganj,25.916914,82.0977733,ChIJ2UpgJPSZmjkRiEAEdX-O71A,https://www.google.com/maps/place/?q=place_id:ChIJ2UpgJPSZmjkRiEAEdX-O71A,part_340,2026-09-20 20:21:56
