business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SUCCESS POINT COACHING,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,,,"Tarikunda, Dhanipur, Odisha 754102",754102,20.3052954,86.12399289999999,ChIJ75Dz6ip5GToR87PIc_Grwj0,https://www.google.com/maps/place/?q=place_id:ChIJ75Dz6ip5GToR87PIc_Grwj0,part_340,2026-09-20 20:22:11
"Ama Anusthan Coaching Center, Jagatsinghpur",Tuition Center,Coaching Center,Coaching Center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 78737 54239,https://amaanusthan.netlify.app/,5.0,,"Gourishankar Complex, beside Bijupattnaik College, Purunagarh, Khairanga, Odisha 754109",754102,20.2086532,86.1723416,ChIJ2bar6PODGToRDoYFc2HJI1k,https://www.google.com/maps/place/?q=place_id:ChIJ2bar6PODGToRDoYFc2HJI1k,part_340,2026-09-20 20:22:11
E-smart coaching centre,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 76060 63890,N/A,5.0,,"oposite of gram panchayat, Sadeipur, Odisha 754132",754102,20.3236335,86.16694509999999,ChIJF7JeGed5GToRvYZLirgQiYs,https://www.google.com/maps/place/?q=place_id:ChIJF7JeGed5GToRvYZLirgQiYs,part_340,2026-09-20 20:22:11
Creative Coaching Center,Tuition Center,Educational institution,Educational institution,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,5.0,,"7567+2X5, Jagatsinghpur, Odisha 754103",754102,20.2598029,86.1644405,ChIJC4IKaQCDGToRkcFVWhTYlIM,https://www.google.com/maps/place/?q=place_id:ChIJC4IKaQCDGToRkcFVWhTYlIM,part_340,2026-09-20 20:22:11
Science paradise coaching center collage Square,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 97786 68557,N/A,4.2,,"7558+47M, Cuttack - Jagatsinghpur Rd, Jagatsinghpur, Odisha 754103",754102,20.257828099999998,86.1656691,ChIJxaoHAr6DGToRK6NcuSMK7lk,https://www.google.com/maps/place/?q=place_id:ChIJxaoHAr6DGToRK6NcuSMK7lk,part_340,2026-09-20 20:22:11
EKLAVYA INSTITUTE,Tuition Center,Coaching Center,"Coaching Center, Stadium",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,4.3,,"7597+7W8, Raghunathpur - Jagatsinghpur Rd, Jagatsinghpur, Odisha 754103",754102,20.2681957,86.1647898,ChIJh6pAGeCDGToRL5Rc3USS0TI,https://www.google.com/maps/place/?q=place_id:ChIJh6pAGeCDGToRL5Rc3USS0TI,part_340,2026-09-20 20:22:11
The New Scholars',Tuition Center,Coaching Center,Coaching Center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,4.7,,"7549+HCW, Jagatsinghpur, Odisha 754103",754102,20.256483,86.16856899999999,ChIJDYdISySCGToRZ3G5ie4of8k,https://www.google.com/maps/place/?q=place_id:ChIJDYdISySCGToRZ3G5ie4of8k,part_340,2026-09-20 20:22:11
SUnshine Coaching Academy,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,5.0,,"84MH+C29, Sareikana, Sankarpur, Odisha 754132",754102,20.3335375,86.1276094,ChIJbX4vvll5GToRiijBh6AFIgg,https://www.google.com/maps/place/?q=place_id:ChIJbX4vvll5GToRiijBh6AFIgg,part_340,2026-09-20 20:22:11
Prahallad's MATH FUNDA.,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 82499 39211,N/A,5.0,,"COURT CHHAK, BADA BAZAR, Jagatsinghpur, Odisha 754103",754102,20.2537776,86.1668649,ChIJaTU74AaDGToRKO8ZSh2HyZw,https://www.google.com/maps/place/?q=place_id:ChIJaTU74AaDGToRKO8ZSh2HyZw,part_340,2026-09-20 20:22:11
"The success,a better learning future starts here",Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 78739 95883,N/A,5.0,,"At-atamala post-jagatsinghpur district -jagatsinghpur,pin-754103, near udash ashram, Jagatsinghpur, Odisha 754294",754102,20.2448138,86.1631513,ChIJMaeZ_nCDGToR7JLSRuvxwKA,https://www.google.com/maps/place/?q=place_id:ChIJMaeZ_nCDGToR7JLSRuvxwKA,part_340,2026-09-20 20:22:11
Pankajini Tutorials (Home Tuition)(LKG To 8th Class),Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 94374 14306,N/A,,,"chatra, hatabaz, near somanath templar, makar padia, gulapada, Jagatsinghpur, Odisha 754294",makar padia,20.2493154,86.16531049999999,ChIJNYXcMACDGToRWM5xMgy3iBI,https://www.google.com/maps/place/?q=place_id:ChIJNYXcMACDGToRWM5xMgy3iBI,part_340,2026-09-20 20:22:11
RADHAMADHABA FREE COACHING CENTRE (Dharani sir),Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,5.0,,"94JG+6GV, Ishanibrahmapur, Paramanandapur, Odisha 754130",754102,20.380598799999998,86.1263037,ChIJEeZQosB5GToRFeQ36ApEzIo,https://www.google.com/maps/place/?q=place_id:ChIJEeZQosB5GToRFeQ36ApEzIo,part_340,2026-09-20 20:22:11
Career coaching centre Nabapatana,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",N/A,N/A,5.0,,"844W+5GG, Nabapatna, Odisha 754114",754102,20.3054305,86.1463228,ChIJZRWVIAB5GToRmcuEI8mp3FQ,https://www.google.com/maps/place/?q=place_id:ChIJZRWVIAB5GToRmcuEI8mp3FQ,part_340,2026-09-20 20:22:11
Sri Jagannath Coaching Centre,Tuition Center,Coaching Center,"Coaching Center, Educational institution",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 96587 12804,N/A,4.5,8.0,"Bhutamundai Bazar, Biswali, Narendrapur, Odisha 754141",Bhutamundai Bazar,20.322011399999997,86.57438259999999,ChIJ____O5nKGzoRLRmnIEiSTJg,https://www.google.com/maps/place/?q=place_id:ChIJ____O5nKGzoRLRmnIEiSTJg,part_340,2026-09-20 20:22:11
The Pinnacle,Tuition Center,Education center,Education center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 85968 67550,N/A,4.6,32.0,"Infront of water tank, Nehru padia, Tirtol, Odisha 754137",754102,20.3068433,86.3421264,ChIJW1VVFVDTGzoR50iS-p1HLjE,https://www.google.com/maps/place/?q=place_id:ChIJW1VVFVDTGzoR50iS-p1HLjE,part_340,2026-09-20 20:22:11
CAREER FOCUS,Tuition Center,Coaching Center,Coaching Center,754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 6722 250 972,N/A,4.8,5.0,"884P+QHF, Tirtol, Odisha 754137",754102,20.3069401,86.3364364,ChIJfVfSkKfUGzoRV_tl6I1K9g8,https://www.google.com/maps/place/?q=place_id:ChIJfVfSkKfUGzoRV_tl6I1K9g8,part_340,2026-09-20 20:22:11
✅Kalinga Tutorial | +2 Science Coaching Center in Balasore,Tuition Center,Coaching Center,"Coaching Center, Test preparation center",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 94393 63437,https://kalingatutorial.com/,4.9,315.0,"FM College Rd, near FM College Road, Mallikashpur, Balasore, Odisha 756001",Mallikashpur,21.490312799999998,86.9331109,ChIJneYLME31HDoRraZSSJdHWhk,https://www.google.com/maps/place/?q=place_id:ChIJneYLME31HDoRraZSSJdHWhk,part_340,2026-09-20 20:22:11
Vinayak Tutorials,Tuition Center,Coaching Center,"Coaching Center, Studying center",754102,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Anakhia S.O, Adhangagarh B.O, Bagalpur B.O",+91 93485 51411,N/A,5.0,,"near SR Graphics, Gadama Bazar, Paikarabati, Cuttack, Odisha 754132",Gadama Bazar,20.3638543,86.1155316,ChIJD_UBRwx5GToRlzRD7CL-88o,https://www.google.com/maps/place/?q=place_id:ChIJD_UBRwx5GToRlzRD7CL-88o,part_340,2026-09-20 20:22:12
