business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HDFC ERGO Insurance Agent: Bishnupriya Satapathy,Insurance Agent,Insurance agency,Insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 8071 729 702,https://agent.hdfcergo.com/motor/hdfc-ergo-insurance-agent-bishnupriya-satapathy-insurance-agency-cuttack-jagatsinghapur-569948/Home,,,"Ground Floor, Kataka, Barti, Odisha 754133",754104,20.3554912,86.21076719999999,ChIJN--kjKl_GToReeSwHP0GVW0,https://www.google.com/maps/place/?q=place_id:ChIJN--kjKl_GToReeSwHP0GVW0,part_340,2026-09-20 20:23:37
HDFC ERGO Insurance Agent: Madhusmita Acharya,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 8071 893 106,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-madhusmita-acharya-insurance-broker-tirtol-jagatsinghapur-440492/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Tirtol, Odisha 754135",754104,20.344900199999998,86.2717231,ChIJ4UfLq4zVGzoRGqesTL1zEL8,https://www.google.com/maps/place/?q=place_id:ChIJ4UfLq4zVGzoRGqesTL1zEL8,part_340,2026-09-20 20:23:37
HDFC ERGO Insurance Agent: Sibu Ranjan Sahoo,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 8071 015 331,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-sibu-ranjan-sahoo-insurance-broker-gopalpur-jagatsinghapur-440869/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Gopalpur, Odisha 754132",754104,20.359263,86.1789905,ChIJ0dmSjYB_GToRNna9wFHSRUM,https://www.google.com/maps/place/?q=place_id:ChIJ0dmSjYB_GToRNna9wFHSRUM,part_340,2026-09-20 20:23:37
LRFS,Insurance Agent,Insurance agency,Insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 98274 39365,http://lrfs.in/,,,"86C3+PW3 Tanara Road TANARA (BALIKUDA, Redhua, Odisha 754104",754104,20.3218125,86.2048125,ChIJQ8GKKgB_GToRxm5SOrAFeIY,https://www.google.com/maps/place/?q=place_id:ChIJQ8GKKgB_GToRxm5SOrAFeIY,part_340,2026-09-20 20:23:37
Prakash ku Nayak (GEN Insurance Adviser ),Insurance Agent,Insurance broker,Insurance broker,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",N/A,N/A,,,"963P+M67, Achhutapur, Tarapur, Odisha 754133",Achhutapur,20.3541587,86.2355619,ChIJx3DwYgB_GToR5dFwVnZL3Gc,https://www.google.com/maps/place/?q=place_id:ChIJx3DwYgB_GToR5dFwVnZL3Gc,part_340,2026-09-20 20:23:37
Dipu,Insurance Agent,Insurance agency,Insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",N/A,N/A,,,"86J7+M5, Sanasalijanga, Odisha 754104",754104,20.3317849,86.2128925,ChIJFR7sDAB_GToRqhXe795DGQc,https://www.google.com/maps/place/?q=place_id:ChIJFR7sDAB_GToRqhXe795DGQc,part_340,2026-09-20 20:23:37
LIC Agent & Insurance Office,Insurance Agent,Insurance agency,Insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",N/A,N/A,,,"House No 509, Ichhapur, Radhanga, Ichhapur, Odisha 754104",Ichhapur,20.3145571,86.2088612,ChIJ87ky-xR_GToRk3GvuqRIGYE,https://www.google.com/maps/place/?q=place_id:ChIJ87ky-xR_GToRk3GvuqRIGYE,part_340,2026-09-20 20:23:37
Good Insurance Broker's Pvt Ltd,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 77808 53473,http://good.in/,5.0,,"Good Insurance Broker's Pvt Ltd, 754104, India",754104,33.5315733,75.2647236,ChIJAwtiH6r3HTkR8dVzfHjshM4,https://www.google.com/maps/place/?q=place_id:ChIJAwtiH6r3HTkR8dVzfHjshM4,part_340,2026-09-20 20:23:38
LIC India,Insurance Agent,Insurance agency,Insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",N/A,https://licindia.in/,4.3,,"Baikuntha Nagar, Brahmapur, Odisha 760001",Baikuntha Nagar,19.314976599999998,84.7983491,ChIJZ3K0FXJQPToRMBIW8pQrSKs,https://www.google.com/maps/place/?q=place_id:ChIJZ3K0FXJQPToRMBIW8pQrSKs,part_340,2026-09-20 20:23:38
Sri Bharat Gas,Insurance Agent,Gas Agency,Gas Agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 94379 65460,N/A,3.5,,"Industrial Estate, opposite Iti Hostel, Khanna Nagar, Industrial Estate Khapuria, Kataka, Odisha 753010","Khanna Nagar, Industrial Estate Khapuria",20.4440202,85.8994367,ChIJn9Xu_g0NGToRcNRlabCGDPs,https://www.google.com/maps/place/?q=place_id:ChIJn9Xu_g0NGToRcNRlabCGDPs,part_340,2026-09-20 20:23:39
IFFCO Tokio General Insurance,Insurance Agent,Motorcycle insurance agency,Motorcycle insurance agency,754104,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Nalibar S.O, Dedhasurdeuli B.O, Gopalpur B.O",+91 1800 103 045 499,https://www.iffcotokio.co.in/,3.9,,"P65R+FC4, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.708632599999998,74.24107529999999,ChIJpYyPLGgAwTsRCW5M4m7wiUE,https://www.google.com/maps/place/?q=place_id:ChIJpYyPLGgAwTsRCW5M4m7wiUE,part_340,2026-09-20 20:23:39
