business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"R.N. PUBLIC SCHOOL, BRAHMANBATI CUTTACK.",School,Educational institution,Educational institution,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",+91 94379 23805,N/A,5.0,2.0,"Brahmanbati, Badamulei, Cuttack, Odisha 754018",Brahmanbati,20.2597144,86.0354917,ChIJZ915m8idGToRT2r2Om14bDM,https://www.google.com/maps/place/?q=place_id:ChIJZ915m8idGToRT2r2Om14bDM,part_340,2026-09-20 20:24:14
Khajara UP School,School,Higher secondary school,Higher secondary school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"53X8+PFR, Unnamed Road, Khajara, Odisha 754105",754105,20.1993731,86.0661449,ChIJf5cgeOydGToRRRR9K6aSuSQ,https://www.google.com/maps/place/?q=place_id:ChIJf5cgeOydGToRRRR9K6aSuSQ,part_340,2026-09-20 20:24:14
DBJKA High School,School,High school,High school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"63HV+XFR, Kulasri, Odisha 754105",754105,20.2299837,86.0936516,ChIJm-Y_zNKcGToRMXSnSdSsIOo,https://www.google.com/maps/place/?q=place_id:ChIJm-Y_zNKcGToRMXSnSdSsIOo,part_340,2026-09-20 20:24:14
"Laxmi Nrusingha High school, Eranch",School,Middle school,Middle school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"63V6+5QP, Erancha, Odisha 754105",754105,20.2429641,86.0619603,ChIJr56QvKOdGToRT4pZu5y5wBw,https://www.google.com/maps/place/?q=place_id:ChIJr56QvKOdGToRT4pZu5y5wBw,part_340,2026-09-20 20:24:14
Laxmi Narayana Vidyapitha School,School,Higher secondary school,Higher secondary school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",+91 80189 18569,http://lnvp.in/,,,"635J+H94, Kasarda, Odisha 754105",754105,20.208889799999998,86.0809599,ChIJISM6DLCcGToRxGu3vjB2di8,https://www.google.com/maps/place/?q=place_id:ChIJISM6DLCcGToRxGu3vjB2di8,part_340,2026-09-20 20:24:14
DIGANTA RESIDENCIAL SCHOOL,School,Boarding school,Boarding school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"6395+2C4, Odisha 754105",754105,20.2175056,86.0585814,ChIJiRg9ZfOcGToRtx-Ore-UyvY,https://www.google.com/maps/place/?q=place_id:ChIJiRg9ZfOcGToRtx-Ore-UyvY,part_340,2026-09-20 20:24:14
"BOTAKHAL U.P. SCHOOL, Botakhal",School,General education school,General education school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"636J+RJ7, Cuttack, Odisha 754105",754105,20.212049399999998,86.0815397,ChIJP3acpbmcGToR43qYUUeh4nY,https://www.google.com/maps/place/?q=place_id:ChIJP3acpbmcGToR43qYUUeh4nY,part_340,2026-09-20 20:24:14
SELADA HIGH SCHOOL,School,Secondary school,Secondary school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"53XV+6WR, Puinchanda, Odisha 754105",754105,20.1981054,86.0947723,ChIJX2E-oVSDGToR5GdYDqrKniQ,https://www.google.com/maps/place/?q=place_id:ChIJX2E-oVSDGToR5GdYDqrKniQ,part_340,2026-09-20 20:24:14
"BRAHMANA BATI ,U.P SCHOOL",School,State Board School,State Board School,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"728M+JRH, Brahmanabati, Badabil, Odisha 754018",754105,20.2665728,86.034622,ChIJq21q8pSdGToRRZNr9V-mEFI,https://www.google.com/maps/place/?q=place_id:ChIJq21q8pSdGToRRZNr9V-mEFI,part_340,2026-09-20 20:24:14
କନ୍ଦଳ ପ୍ରାଥମିକ ବିଦ୍ୟାଳୟ,School,Primary school,Primary school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"62RX+W8X, Uttaran, Odisha 754105",754105,20.2423569,86.0483708,ChIJ86hChKudGToR5u9bRzzl7VE,https://www.google.com/maps/place/?q=place_id:ChIJ86hChKudGToR5u9bRzzl7VE,part_340,2026-09-20 20:24:14
primery school,School,Primary school,Primary school,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,,,"64R2+4J4, jorakula, Patenigan, Odisha 754114",754105,20.2402545,86.1015633,ChIJJ7-l1deCGToRa7-hLYbtLk0,https://www.google.com/maps/place/?q=place_id:ChIJJ7-l1deCGToRa7-hLYbtLk0,part_340,2026-09-20 20:24:14
Suanlo up school,School,Educational institution,Educational institution,754105,Odisha Circle,Bhubaneswar HQ Region,Cuttack City Division,"Kasarda S.O, Eranch B.O, Kulashree B.O",N/A,N/A,3.5,2.0,"54Q9+X49, Suanlo, Katikata, Odisha 754294",754105,20.1899092,86.1178592,ChIJLwMN6tOFGToRq3vpGT59F0g,https://www.google.com/maps/place/?q=place_id:ChIJLwMN6tOFGToRq3vpGT59F0g,part_340,2026-09-20 20:24:14
