business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DREAM CAR GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",N/A,N/A,1.0,,"Indraprastha Industrial Area, Kota Municipal Area, Kota, Rajasthan 324005",Indraprastha Industrial Area,25.121238899999998,75.8612953,ChIJtQ3CZAeFbzkRh3vlACp6PrA,https://www.google.com/maps/place/?q=place_id:ChIJtQ3CZAeFbzkRh3vlACp6PrA,part_340,2026-09-20 20:34:10
Sai Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",N/A,N/A,,,"Ramdurg, Karnataka 591123",754133,15.949343299999999,75.291495,ChIJHQKMVHShuDsRiPDSB7Fp22E,https://www.google.com/maps/place/?q=place_id:ChIJHQKMVHShuDsRiPDSB7Fp22E,part_340,2026-09-20 20:34:10
GENERAL CAR GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",N/A,N/A,,,"R7RM+GV6, Uppinangady, Karnataka 574241",754133,12.841295299999999,75.2846299,ChIJOW8OYQC_pDsRBz_HtkLfj5I,https://www.google.com/maps/place/?q=place_id:ChIJOW8OYQC_pDsRBz_HtkLfj5I,part_340,2026-09-20 20:34:10
S.K. AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 63618 19461,N/A,,,"Nargund, Karnataka 582207",754133,15.720706799999999,75.3875151,ChIJ3c7ezbKVuDsRQwP4pzgrnt8,https://www.google.com/maps/place/?q=place_id:ChIJ3c7ezbKVuDsRQwP4pzgrnt8,part_340,2026-09-20 20:34:10
INDIAN Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",N/A,N/A,,,"Laxmeshwar, Karnataka 582116",754133,15.126883399999999,75.469403,ChIJ3S8EgnAauTsRNbWs3Eze7MQ,https://www.google.com/maps/place/?q=place_id:ChIJ3S8EgnAauTsRNbWs3Eze7MQ,part_340,2026-09-20 20:34:10
Shree Balaji Car Repair & Alignment Workshop,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car wash",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 98752 64963,N/A,4.8,71.0,"Mandha adharsh school ke pass, Khatoo, Rajasthan 332602",754133,27.3794227,75.4063315,ChIJb7ARiyvtbDkRM0zZBzaSsQo,https://www.google.com/maps/place/?q=place_id:ChIJb7ARiyvtbDkRM0zZBzaSsQo,part_340,2026-09-20 20:34:11
Munna Puncture Point,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 73853 55051,N/A,4.8,4.0,"shop no -01, near, takariya chowk, Samrat Nagar, Kolhapur, Maharashtra 416008",Samrat Nagar,16.685295399999998,74.244843,ChIJE5gmriMAwTsRDF9SVp4gr44,https://www.google.com/maps/place/?q=place_id:ChIJE5gmriMAwTsRDF9SVp4gr44,part_340,2026-09-20 20:34:11
HARI OM MOTOR,Car Repair Workshop and Garage,Auto body shop,"Auto body shop, Auto repair shop, Auto restoration service",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 62005 10496,N/A,4.1,7.0,"Bal-Vihar, Tempo Stand, 25, behind Carmel School, Kunj Nagar, Adarsh Nagar, Sonari, Jamshedpur, Jharkhand 831011","Kunj Nagar, Adarsh Nagar, Sonari",22.8261042,86.16793129999999,ChIJhcDQrQnl9TkRRBynbCPfljY,https://www.google.com/maps/place/?q=place_id:ChIJhcDQrQnl9TkRRBynbCPfljY,part_340,2026-09-20 20:34:12
United Auto,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 82719 92948,N/A,4.2,77.0,"UNITED AUTO, NAGESH TOWER, near GOODS SHADE GATE MILLS AND GODOWN AREA, Kalimati, Burma Mines, Jamshedpur, Jharkhand 831007","Kalimati, Burma Mines",22.7709907,86.2032342,ChIJNUjjLTLj9TkRM1fSfIc8qJU,https://www.google.com/maps/place/?q=place_id:ChIJNUjjLTLj9TkRM1fSfIc8qJU,part_340,2026-09-20 20:34:12
Motor World,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Car dealer",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 77070 13350,https://www.marutisuzuki.com/arena/service/workshop-locator/map-view,4.1,7.0,"Nh - 33, Pardih Chowk, Kanchan Nagar, Kumrum, Mango, Jamshedpur, Jharkhand 831020","Kanchan Nagar, Kumrum, Mango",22.849397699999997,86.2093107,ChIJmXeC3tHj9TkRG78_UBKjhbA,https://www.google.com/maps/place/?q=place_id:ChIJmXeC3tHj9TkRG78_UBKjhbA,part_340,2026-09-20 20:34:12
Maruti Care,Car Repair Workshop and Garage,Chauffeur service,Chauffeur service,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 98351 66860,N/A,5.0,5.0,"5, R Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001","South Park, Bistupur",22.789128599999998,86.1826339,ChIJgc631N7j9TkRI2xzc05C2zc,https://www.google.com/maps/place/?q=place_id:ChIJgc631N7j9TkRI2xzc05C2zc,part_340,2026-09-20 20:34:12
Garage Gao,Car Repair Workshop and Garage,Garage,Garage,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",N/A,N/A,4.0,128.0,"Q5PG+4QQ, Parvati Ghat, Bistupur, Jamshedpur, Jharkhand 831001","Parvati Ghat, Bistupur",22.785339699999998,86.1769855,ChIJxXZSI3nj9TkRzwbszpkBcmA,https://www.google.com/maps/place/?q=place_id:ChIJxXZSI3nj9TkRzwbszpkBcmA,part_340,2026-09-20 20:34:12
Radhey automobile & car ripair santer,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 80055 28460,N/A,5.0,5.0,"9C84+M6, Khatoo, Khatu Shyamji, Rajasthan 332602",754133,27.3667439,75.4055334,ChIJ2RL2bnPvbDkR_RolowzTPlg,https://www.google.com/maps/place/?q=place_id:ChIJ2RL2bnPvbDkR_RolowzTPlg,part_340,2026-09-20 20:34:12
The Wrenchmen,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 97555 38885,http://www.thewrenchmen.in/,4.7,75.0,"Vivekanand Nagar, Sri Vivekananda Nagar, Madhapur, Hyderabad, Telangana 500081","Vivekanand Nagar, Sri Vivekananda Nagar, Madhapur",17.4588078,78.3972701,ChIJxyi8mAmRyzsRS1uHTG5jSgo,https://www.google.com/maps/place/?q=place_id:ChIJxyi8mAmRyzsRS1uHTG5jSgo,part_340,2026-09-20 20:34:12
Khushi Automobile,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 76982 90875,N/A,4.9,12.0,"Pushparaj Apartment, 8, New Judges Bunglow Rd, near VISHWAS CITY-2, Ghatlodiya, Chanakyapuri, Ahmedabad, Gujarat 380061","Ghatlodiya, Chanakyapuri",23.077990399999997,72.5334239,ChIJL4aRn1yDXjkRPJXEFh1AOqs,https://www.google.com/maps/place/?q=place_id:ChIJL4aRn1yDXjkRPJXEFh1AOqs,part_340,2026-09-20 20:34:12
Kadam Autolines,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 96738 77038,N/A,4.3,12.0,"Kadam autolines, Shivaji Udyam Nagar, Kolhapur, Maharashtra 416008",Shivaji Udyam Nagar,16.6971395,74.2327335,ChIJg8NUvhIBwTsRx4hcEba9wSQ,https://www.google.com/maps/place/?q=place_id:ChIJg8NUvhIBwTsRx4hcEba9wSQ,part_340,2026-09-20 20:34:12
