business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LAXMI EDUCATION CONSULTANT,Educational Consultant,Educational consultant,"Educational consultant, Career guidance service",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 97676 12859,http://www.laxmiedu.in/,5.0,3.0,"Udyog Bhavan, behind Latur, opp. Joshi Maths Classes Tuition Area, Urban Bank, Narayan Nagar, Latur, Maharashtra 413512","Urban Bank, Narayan Nagar",18.395433699999998,76.5679188,ChIJb7TaaeGdcAcRuArIHxljK3o,https://www.google.com/maps/place/?q=place_id:ChIJb7TaaeGdcAcRuArIHxljK3o,part_340,2026-09-20 20:34:24
Brain Recoding Edutech - Odisha,Educational Consultant,Educational institution,Educational institution,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 74379 65253,https://brainrecoding.com/,5.0,3.0,"Near, Park Tyendakura, Alijanga, Tendakuda, Odisha 754134",754133,20.3847123,86.2630564,ChIJt2xG9_DVGzoR7G_Stg1w16g,https://www.google.com/maps/place/?q=place_id:ChIJt2xG9_DVGzoR7G_Stg1w16g,part_340,2026-09-20 20:34:24
DSG Overseas,Educational Consultant,Educational consultant,"Educational consultant, Visa Agent",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 94918 17000,https://dsgoverseas.com/,4.7,76.0,"DSG Overseas, SCO No. 2, First Floor New Bus Stand Red Lights, next to Singla Honda, Kurukshetra, Haryana 136118",DD colony,29.9740239,76.8637308,ChIJxS6vZXJHDjkRqFyjU6anQdA,https://www.google.com/maps/place/?q=place_id:ChIJxS6vZXJHDjkRqFyjU6anQdA,part_340,2026-09-20 20:34:24
"GLOBAL CAREER CRAFTERS (Study Abroad,IELTS, GRE,TOEFL,English,German French)",Educational Consultant,Student career counseling office,"Student career counseling office, Career guidance service, Coaching Center, English language school, Foreign languages program school, French language school, German language school, Visa Agent",754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 90110 61050,https://www.globalcareercrafters.com/,4.6,188.0,"Atharva Dimension "" 2nd Floor, 4th Ln, above Natural Ice cream, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6958849,74.2416362,ChIJLXJj6iAAwTsR_t1VTivM90o,https://www.google.com/maps/place/?q=place_id:ChIJLXJj6iAAwTsR_t1VTivM90o,part_340,2026-09-20 20:34:24
Canadian Education Centre,Educational Consultant,Consultant,Consultant,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 98713 67618,http://canadianeducationcentre.com/,5.0,1357.0,"#809, 8th Floor, Indraprakash Building, 21 Barakhmba Road, Connaught Place, New Delhi, Delhi 110001",Barakhamba,28.6293059,77.22376489999999,ChIJee8tMTL9DDkRldkaMRpT7-w,https://www.google.com/maps/place/?q=place_id:ChIJee8tMTL9DDkRldkaMRpT7-w,part_340,2026-09-20 20:34:24
Edualliance Educational Consultant (P) Ltd.,Educational Consultant,Educational consultant,Educational consultant,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 90280 17162,http://www.eduallianceworld.com/,4.8,,"Galaxy Tower, Office No 1, Second Floor Near Dabholkar Corner, New Shahupuri, opp. Sasne Ground, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7056933,74.24127779999999,ChIJ1bOCFM0BwTsRvG0YVBqHtVc,https://www.google.com/maps/place/?q=place_id:ChIJ1bOCFM0BwTsRvG0YVBqHtVc,part_340,2026-09-20 20:34:25
Global Degrees,Educational Consultant,Educational consultant,Educational consultant,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 91606 23377,https://ap-globaldegrees.in/,4.9,,"Pillar No:17,40 2nd Floor, Hospital Lane, Vasavya Rd, near ESAF Small Bank, Dr. Samaram Hospitals Building, K P Nagar, Benz Circle, Vijayawada, Andhra Pradesh 520010","Dr. Samaram Hospitals Building, K P Nagar, Benz Circle",16.4987879,80.65631739999999,ChIJO4jZncf6NToRi86WNXSYMXQ,https://www.google.com/maps/place/?q=place_id:ChIJO4jZncf6NToRi86WNXSYMXQ,part_340,2026-09-20 20:34:26
Sowrya Consultancy,Educational Consultant,Educational consultant,Educational consultant,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 90523 00800,http://www.sowrya.com/,4.7,,"1st floor, MG Rd, Beside Sridevi Jewllers, Brindavan Colony, Sriram Nagar, Vijayawada, Andhra Pradesh 520010","Brindavan Colony, Sriram Nagar",16.4997477,80.6473803,ChIJheMAXbr6NToRXxt7cs56QaE,https://www.google.com/maps/place/?q=place_id:ChIJheMAXbr6NToRXxt7cs56QaE,part_340,2026-09-20 20:34:26
MAATs Pvt Ltd. {Mental Arithmetic and Abacus All India Talent Search Pvt Ltd}. India's No.1 Online Abacus Exam System.,Educational Consultant,Educational institution,Educational institution,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 70661 76922,https://www.maats.in/,4.6,,"M6XH+MJM, LaxmiPuri, near New Prarthana Hotel, Laxmipuri, Kolhapur, Maharashtra 416002",Laxmipuri,16.6992398,74.22902479999999,ChIJ6zoq5mcBwTsR6V8RFbMy2d8,https://www.google.com/maps/place/?q=place_id:ChIJ6zoq5mcBwTsR6V8RFbMy2d8,part_340,2026-09-20 20:34:26
Balaji Education Group,Educational Consultant,Education center,Education center,754133,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Tarpur S.O, Jaipur B.O, Nuapada B.O",+91 95959 75071,N/A,5.0,,"19, beside jalaram mangal karyalaya, opp. Prashant High School, Hiwari Nagar, Nagpur, Maharashtra 440008","Hiwari Nagar, Uday Nagar, Shashtri Nagar",21.1449845,79.13365189999999,ChIJq9n2X2rH1DsRILoa7mBKwP8,https://www.google.com/maps/place/?q=place_id:ChIJq9n2X2rH1DsRILoa7mBKwP8,part_340,2026-09-20 20:34:26
