business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAA MANGALA VARIETY STORE,General Store,General store,"General store, Dairy store",754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 77508 94365,N/A,,,"Korua, Odisha 754134",754134,20.4004367,86.335275,ChIJw6CHrhHXGzoRJCOYgUPso-k,https://www.google.com/maps/place/?q=place_id:ChIJw6CHrhHXGzoRJCOYgUPso-k,part_340,2026-09-20 20:34:39
Panda & panda store,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,5.0,2.0,"96J5+2WH, Barimula, Odisha 754134",754134,20.379711699999998,86.2098449,ChIJrzn_SH1_GToRvZrLuLJzSVw,https://www.google.com/maps/place/?q=place_id:ChIJrzn_SH1_GToRvZrLuLJzSVw,part_340,2026-09-20 20:34:39
Sameer General Store,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,4.2,6.0,"97R2+RHP, Manijanga, Odisha 754134",754134,20.3920907,86.2514521,ChIJlQSzqv59GToRDp4BXPSVqOQ,https://www.google.com/maps/place/?q=place_id:ChIJlQSzqv59GToRDp4BXPSVqOQ,part_340,2026-09-20 20:34:39
Sahoo General Store,General Store,Store,Store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,5.0,3.0,"96VP+VMH, Uttarkul, Odisha 754134",754134,20.3946753,86.2367311,ChIJHRENeOd9GToR-GAMsLhYw-0,https://www.google.com/maps/place/?q=place_id:ChIJHRENeOd9GToR-GAMsLhYw-0,part_340,2026-09-20 20:34:39
B.M GENERAL STORE,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,,,"Kanchilo, Dhasnapari, Odisha 754134",754134,20.4020083,86.3273516,ChIJewI9CsHXGzoRNSCMqEyXP5I,https://www.google.com/maps/place/?q=place_id:ChIJewI9CsHXGzoRNSCMqEyXP5I,part_340,2026-09-20 20:34:39
ENDU BABU GROCERY SHOP,General Store,Indian grocery store,Indian grocery store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,4.5,17.0,"FCXF+3HQ, Kendrapara, Odisha 754211",754134,20.4977081,86.4239789,ChIJmfWufLPFGzoRsGhGuiXbtQQ,https://www.google.com/maps/place/?q=place_id:ChIJmfWufLPFGzoRsGhGuiXbtQQ,part_340,2026-09-20 20:34:39
OMM VERITY STORE,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 84807 36927,N/A,5.0,2.0,"Chhapachikana, Odisha 754209",754134,20.4535296,86.2588262,ChIJ35mNefrXGzoRntWGBa0Tres,https://www.google.com/maps/place/?q=place_id:ChIJ35mNefrXGzoRntWGBa0Tres,part_340,2026-09-20 20:34:39
Akhandalamani Snacks & Variety Store,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,5.0,1.0,"Shop No-01, At/Po-Tirtol, Bhubaneswar, Tirtol, Odisha 754137",754134,20.3068742,86.3332082,ChIJ4fFMmUjVGzoRDe1s92n3ubs,https://www.google.com/maps/place/?q=place_id:ChIJ4fFMmUjVGzoRDe1s92n3ubs,part_340,2026-09-20 20:34:39
WHOLESALE GROCERY STORE,General Store,Grow shop,Grow shop,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 63729 53952,N/A,5.0,,"Baligada, Charirakaba, Odisha 754293",Baligada,20.4067902,86.20692629999999,ChIJIeDiGFh9GToR98Ko5xldM8M,https://www.google.com/maps/place/?q=place_id:ChIJIeDiGFh9GToR98Ko5xldM8M,part_340,2026-09-20 20:34:40
99 STORE BILAHAT,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 84578 88995,N/A,4.5,,"Shop No -10, At - Mohammadpur, Bilahat Market Complex, Po, Tyendakura, Bhubaneswar, Odisha 754134",754134,20.3875885,86.2627639,ChIJJ1nIxe7XGzoRDrKfu78e6II,https://www.google.com/maps/place/?q=place_id:ChIJJ1nIxe7XGzoRDrKfu78e6II,part_340,2026-09-20 20:34:40
Manoj Variety Store,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",N/A,N/A,,,"963H+M5Q, Cuttack - Paradeep Rd, Tarapur, Odisha 754133",754134,20.3542249,86.2279812,ChIJ-wCOAjl_GToR9aWOKbPt8-4,https://www.google.com/maps/place/?q=place_id:ChIJ-wCOAjl_GToR9aWOKbPt8-4,part_340,2026-09-20 20:34:40
Sahoo shop,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 95563 87434,N/A,3.8,11.0,"PJ2F+Q5P, Dasipur, Odisha 754219",754134,20.701957999999998,86.6229493,ChIJB6w9mp-VGzoRucE-iQInPZw,https://www.google.com/maps/place/?q=place_id:ChIJB6w9mp-VGzoRucE-iQInPZw,part_340,2026-09-20 20:34:41
Binod Jena,General Store,General store,General store,754134,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"TYANDAKURA S.O, Babujang B.O, Benirampur B.O",+91 76550 88190,N/A,5.0,1.0,"Shop No -67Kajala, Kendrapara, Maradpur, Odisha 754211",754134,20.5133395,86.3940774,ChIJzZjclELbGzoRVSzrc7wLQkQ,https://www.google.com/maps/place/?q=place_id:ChIJzZjclELbGzoRVSzrc7wLQkQ,part_340,2026-09-20 20:34:41
