business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"SRM Solutions - Webdesign, Mobile App, E-comstore.",SaaS Companies Selling to SMBs,Software company,Software company,754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 96402 90977,https://www.linkedin.com/company/srm-software-solutions/,5.0,47.0,"Magna, Lake View Towers, Kondapur, Safari Nagar, Prashanth Nagar Colony, Kondapur, Hyderabad, Telangana 500081","Kondapur, Safari Nagar, Prashanth Nagar Colony, Kondapur",17.4622818,78.3626451,ChIJz3ddEf2TyzsRDD6JGQDtUuo,https://www.google.com/maps/place/?q=place_id:ChIJz3ddEf2TyzsRDD6JGQDtUuo,part_340,2026-09-20 20:42:35
Soft Amass India (SAI),SaaS Companies Selling to SMBs,Software company,"Software company, Consultant, Website designer",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 97329 62222,https://softamassindia.com/,4.9,38.0,"Nimtala More, DC Sankarara, Midnapore, West Bengal 721636",754153,22.2772054,87.9268148,ChIJ0W8lW3yUAjoRADkJLpO7yPo,https://www.google.com/maps/place/?q=place_id:ChIJ0W8lW3yUAjoRADkJLpO7yPo,part_340,2026-09-20 20:42:35
Ascent Software Solutions | Since 2010,SaaS Companies Selling to SMBs,Software company,"Software company, Consultant, Educational institution, Investment service, Software Training Institute",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 90750 56050,https://www.ascentindia.dev/,5.0,1256.0,"Office No- 7, 2nd floor, Phule Vihar Society, Pune - Satara Rd, opposite BSNL Office, near Panchami Hotel of, S.T. Colony, Parvati Paytha, Pune, Maharashtra 411009","S.T. Colony, Parvati Paytha",18.492628099999997,73.85624729999999,ChIJI9jTWXHAwjsR-yz8kt8fF7Y,https://www.google.com/maps/place/?q=place_id:ChIJI9jTWXHAwjsR-yz8kt8fF7Y,part_340,2026-09-20 20:42:35
Business Software India I Leading Artificial Intelligent and Blockchain Company,SaaS Companies Selling to SMBs,Software company,Software company,754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 97331 92532,https://business-software.in/,5.0,5.0,"91Springboard, 6th Floor, Trifecta Adatto, 21, ITPL Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048","Garudachar Palya, Mahadevapura",12.9936445,77.6993401,ChIJebcThXtcUjoRJddPDBKpd50,https://www.google.com/maps/place/?q=place_id:ChIJebcThXtcUjoRJddPDBKpd50,part_340,2026-09-20 20:42:35
PractoMind,SaaS Companies Selling to SMBs,Software company,"Software company, Business banking service, Business to business service, Computer security service, Computer support and services, Educational institution, Telecommunications service provider, Wholesaler",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",N/A,http://www.practomind.com/,4.6,5.0,"Unit 103, Dharma Arcade, Nandankanan Rd, Raghunathpur, Bhubaneswar, Odisha 751024",Raghunathpur,20.3742603,85.830151,ChIJc52yfI4NGToR0lsylsElZ5I,https://www.google.com/maps/place/?q=place_id:ChIJc52yfI4NGToR0lsylsElZ5I,part_340,2026-09-20 20:42:35
SSK SOLUTION GROUP,SaaS Companies Selling to SMBs,Internet marketing service,"Internet marketing service, Service establishment, Website designer",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 6295 501 713,https://www.ssksolution.com/,4.7,9.0,"SSK SOLUTION GROUP, 754153, India",754153,21.0680074,82.7525294,ChIJzy7XddWLAjoRujehWwP3Czo,https://www.google.com/maps/place/?q=place_id:ChIJzy7XddWLAjoRujehWwP3Czo,part_340,2026-09-20 20:42:35
Sam Networks Cloud Hosting!,SaaS Companies Selling to SMBs,Web hosting company,"Web hosting company, Computer support and services, Internet marketing service, Website designer",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 78920 33012,https://www.samnetworks.in/,5.0,,"#1-46D, Sanmoolika Kripa, Maruthivana Road, Koteshwara, Karnataka 576222",754153,13.589638299999999,74.6976602,ChIJLxMjFo6RvDsR1p4-BgV3rZE,https://www.google.com/maps/place/?q=place_id:ChIJLxMjFo6RvDsR1p4-BgV3rZE,part_340,2026-09-20 20:42:36
Sat Web Solutions,SaaS Companies Selling to SMBs,Business related,Business related,754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 99488 22494,https://satwebview.in/,4.8,,"KHAN COMPLEX, 21/632-15, R K Nagar, Maria Puram, Ravindra Nagar, Kadapa, Andhra Pradesh 516001","R K Nagar, Maria Puram, Ravindra Nagar",14.4775312,78.82643159999999,ChIJpXXaThtyszsRB815VdWOHZc,https://www.google.com/maps/place/?q=place_id:ChIJpXXaThtyszsRB815VdWOHZc,part_340,2026-09-20 20:42:36
Summit Soft Solutions,SaaS Companies Selling to SMBs,Software company,"Software company, BPO Company, Business management consultant, Marketing agency, Computer support and services",754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",+91 97466 69038,https://www.summit-me.com/,4.2,,"1st Floor, Swadeshi Building, Bank Rd, Kannur, Keralam 670001",754153,11.869636499999999,75.3659249,ChIJw2kPRzU9pDsRVa8rLX63Ryc,https://www.google.com/maps/place/?q=place_id:ChIJw2kPRzU9pDsRVa8rLX63Ryc,part_340,2026-09-20 20:42:36
SSMART IT CONSULTING SERVICES,SaaS Companies Selling to SMBs,Corporate office,Corporate office,754153,Odisha Circle,Bhubaneswar HQ Region,Cuttack North Division,"GARADPUR S.O, Bamara Cuttack B.O, Kalabuda B.O",N/A,N/A,4.9,,"Kukatpally Housing Board Colony, Malaysian Twp, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, Malaysian Township, KPHB 5th Phase, Kukatpally",17.479212099999998,78.3920588,ChIJB8AIaRyTyzsRBLMzx44A40Y,https://www.google.com/maps/place/?q=place_id:ChIJB8AIaRyTyzsRBLMzx44A40Y,part_340,2026-09-20 20:42:36
